X,Y
369.885,12.346
353.5,19.5
500.3,20.5
389.3,21.5
334.3,25.5
421.25,28.167
228.3,31.5
501.3,34.5
336.0,40.214
408.3,45.5
355.3,56.5
433.5,59.5
341.3,61.5
218.962,65.654
428.3,70.5
271.3,72.5
399.3,72.5
413.3,75.5
246.5,79.5
227.136,80.591
283.3,83.5
210.3,84.5
425.3,89.5
201.3,91.5
403.3,92.5
218.3,94.5
256.3,95.5
271.3,95.5
427.3,107.5
218.3,110.5
206.3,111.5
403.3,117.5
194.3,120.5
207.3,121.5
428.3,122.5
387.3,125.5
415.3,130.5
292.3,134.5
195.3,135.5
212.3,135.5
400.3,139.5
415.3,144.5
284.3,151.5
405.3,159.5
382.3,175.5
449.5,182.5
273.5,188.5
288.136,194.409
450.3,197.5
372.3,202.5
413.3,216.5
354.3,246.5
339.3,257.5
393.3,258.5
283.3,270.5
428.3,284.5
358.3,286.5
373.3,286.5
218.3,288.5
314.3,291.5
347.3,296.5
330.3,299.5
380.3,301.5
426.3,305.5
397.667,306.583
347.3,309.5
358.3,309.5
437.3,311.5
329.3,315.5
368.3,315.5
414.3,316.5
571.3,320.5
380.0,327.5
352.3,328.5
22.3,329.5
561.7,329.4
324.3,340.5
345.3,345.5
384.3,346.5
398.3,352.5
403.618,378.206
174.3,381.5
515.3,385.5
190.3,386.5
362.3,391.5
399.562,391.688
378.3,394.5
409.3,399.5
353.5,400.5
400.3,403.5
452.3,404.5
377.3,408.5
469.3,409.5
442.3,414.5
434.3,417.5
300.3,418.5
400.25,420.167
434.3,434.5
395.5,435.409
412.25,435.583
360.3,448.5
458.3,450.5
393.115,452.269
421.3,452.5
409.318,456.318
495.3,455.5
376.136,457.409
426.3,462.5
445.136,466.591
523.3,471.5
534.3,477.5
487.3,504.5
413.3,542.5
521.3,544.5
531.3,554.5
465.75,560.083
436.318,590.318
486.3,589.5
