X,Y
239.3,50.5
239.3,62.5
338.3,64.5
349.3,67.5
272.3,86.5
473.3,98.5
447.3,101.5
721.3,109.5
736.3,111.5
467.3,114.5
453.3,116.5
743.3,118.5
636.3,132.5
476.3,135.5
485.3,147.5
675.3,148.5
463.3,151.5
487.3,157.5
635.3,159.5
623.3,177.5
645.3,189.5
424.3,196.5
399.3,200.5
325.3,216.5
185.3,228.5
575.3,239.5
544.3,240.5
595.3,240.5
146.3,246.5
578.3,259.5
392.3,275.5
432.3,319.5
443.3,322.5
778.3,327.5
579.3,351.5
594.3,351.5
417.3,352.5
494.3,352.5
701.3,352.5
713.3,358.5
99.3,361.5
471.3,365.5
691.3,374.5
52.3,380.5
457.3,386.5
131.3,400.5
115.3,420.5
526.3,420.5
517.3,429.5
508.3,432.5
274.3,435.5
601.3,440.5
284.3,445.5
262.3,446.5
715.3,446.5
185.3,447.5
498.3,449.5
308.3,451.5
236.3,452.5
277.3,452.5
371.3,452.5
414.3,465.5
575.3,465.5
719.3,468.5
270.3,474.5
263.3,485.5
738.3,491.5
355.3,494.5
747.3,495.5
763.3,508.5
365.3,513.5
332.3,521.5
408.3,522.5
492.3,523.5
754.3,525.5
656.3,537.5
432.3,553.5
453.3,561.5
638.3,563.5
416.3,566.5
719.3,585.5
