X,Y
185.3,3.5
136.136,4.591
201.3,4.5
324.3,6.5
174.3,7.5
220.3,9.5
475.3,10.5
585.3,18.5
113.5,20.5
190.3,24.5
322.3,27.5
532.3,28.5
549.3,28.5
475.3,29.5
3.3,30.5
337.3,30.5
430.3,30.5
157.3,31.5
574.167,32.75
126.038,34.346
313.3,33.5
395.3,37.5
663.3,37.5
98.3,38.5
436.3,41.5
307.833,48.5
381.3,48.5
114.3,49.5
482.3,50.5
200.167,52.25
222.3,52.5
497.227,54.318
461.3,54.5
371.3,56.5
271.3,57.5
787.3,58.5
68.3,61.5
296.3,61.5
324.3,63.5
688.3,63.5
707.3,63.5
725.3,63.5
86.3,66.5
49.5,67.5
445.3,69.5
467.3,70.5
99.3,76.5
371.3,77.5
524.3,79.5
276.3,82.5
168.3,85.5
86.3,86.5
6.3,89.5
30.3,90.5
258.3,90.5
660.3,90.5
405.3,91.5
242.3,92.5
72.3,98.5
371.3,99.5
347.3,103.5
31.3,104.5
89.3,105.5
449.5,106.5
138.3,109.5
64.214,111.0
106.3,114.5
749.3,115.5
485.3,116.5
149.3,118.5
161.312,119.688
267.3,124.5
733.136,124.591
690.3,125.5
635.3,126.5
764.3,127.5
231.3,133.5
611.3,133.5
751.3,133.5
116.3,134.5
440.3,134.5
457.3,137.5
689.5,139.5
368.3,141.5
772.3,142.5
598.136,143.409
494.3,144.5
305.5,145.5
107.3,149.5
130.3,149.5
609.3,151.5
464.3,152.5
745.3,154.5
694.3,155.5
48.3,156.5
62.3,156.5
182.3,161.5
357.3,161.5
375.3,164.5
599.3,164.5
109.3,165.5
267.3,165.5
614.367,165.967
56.3,171.5
490.3,171.5
746.3,173.5
226.3,174.5
15.3,175.5
246.3,175.5
340.3,176.5
411.3,177.5
545.5,178.5
97.5,180.5
279.3,186.5
218.3,187.5
19.3,188.5
251.3,188.5
125.3,197.5
301.3,197.5
690.3,198.5
171.3,199.5
31.3,202.5
154.3,206.5
236.3,207.5
491.3,208.5
521.3,211.5
312.3,212.5
173.3,215.5
263.3,215.5
784.3,217.5
205.3,221.5
510.3,226.5
71.3,229.5
140.3,233.5
310.3,233.5
469.3,234.5
211.3,235.5
483.3,236.5
637.3,236.5
536.3,239.5
24.3,241.5
403.3,245.5
473.3,245.5
192.3,246.5
317.3,246.5
614.3,248.5
129.5,250.5
68.3,251.5
214.3,253.5
266.3,254.5
386.3,254.5
113.5,257.5
693.3,265.5
274.3,267.5
116.3,269.5
143.3,270.5
329.3,272.5
501.3,275.5
188.3,276.5
428.3,281.5
162.3,284.5
390.3,284.5
756.3,284.5
376.3,285.5
235.3,286.5
509.3,288.5
533.3,288.5
616.3,288.5
359.3,290.5
550.3,294.5
246.3,297.5
268.3,300.5
153.3,303.5
370.3,303.5
389.3,303.5
528.3,307.5
512.3,308.5
175.3,309.5
694.3,309.5
746.3,309.5
108.3,310.5
133.3,312.5
461.3,314.5
673.5,314.5
191.3,316.5
431.3,316.5
639.3,316.5
400.3,317.5
494.3,317.5
212.3,323.5
472.3,323.5
97.5,326.5
166.3,328.5
551.3,333.5
254.3,335.5
721.5,335.5
596.3,337.5
186.3,338.5
707.3,338.5
284.3,339.5
470.3,341.5
145.5,344.5
490.3,346.5
529.5,346.5
460.3,351.5
199.3,352.5
343.3,355.5
144.3,358.5
474.3,358.5
255.3,360.5
595.3,363.5
326.3,364.5
316.3,366.5
337.3,368.5
62.3,369.5
430.3,369.5
768.3,369.5
570.3,370.5
137.3,372.5
352.3,372.5
216.3,373.5
74.136,374.591
588.3,374.5
334.3,381.5
535.3,383.5
44.3,385.5
134.3,385.5
64.3,387.5
355.136,387.409
490.3,389.5
668.3,393.5
118.3,394.5
427.3,397.5
173.3,400.5
230.3,401.5
665.3,407.5
297.3,408.5
615.3,408.5
793.3,408.5
326.3,410.5
482.3,411.5
492.3,412.5
591.3,413.5
173.3,415.5
700.3,415.5
372.3,417.5
681.3,418.5
790.3,418.5
531.3,420.5
309.083,425.25
611.3,426.5
297.3,427.5
669.3,428.5
405.3,431.5
691.3,431.5
712.3,432.5
250.3,434.5
539.3,438.5
177.5,439.5
737.5,439.5
137.3,440.5
523.3,446.5
572.3,446.5
552.3,447.5
429.3,449.5
292.3,450.5
361.3,450.5
588.3,450.5
73.3,451.5
127.3,457.5
242.3,457.5
517.3,457.5
534.3,458.5
222.3,459.5
423.3,461.5
11.3,466.5
461.3,467.5
252.3,469.5
436.3,471.5
607.3,471.5
232.3,474.5
364.3,474.5
140.3,475.5
318.3,475.5
376.3,478.5
392.3,478.5
249.3,479.5
640.3,479.5
348.3,483.5
61.3,488.5
655.3,488.5
356.3,490.5
562.3,492.5
47.3,493.5
675.3,494.5
696.3,494.5
641.3,496.5
337.864,500.591
654.3,502.5
272.3,503.5
306.3,503.5
468.3,503.5
796.3,503.5
33.5,504.5
712.3,505.5
349.409,507.682
14.3,509.5
54.3,509.5
635.3,512.5
726.3,513.5
222.3,515.5
77.3,516.5
533.3,520.5
326.3,522.5
612.3,522.5
105.3,524.5
403.3,524.5
234.3,527.5
216.3,529.5
29.3,530.5
618.3,531.5
174.3,532.5
507.3,533.5
303.3,534.5
317.3,534.5
209.5,538.5
245.3,540.5
256.3,542.5
492.3,543.5
453.3,545.5
93.3,548.5
318.3,550.5
468.3,550.5
738.3,550.5
754.3,550.5
59.3,553.5
709.3,553.5
695.3,563.5
588.3,565.5
609.5,565.5
223.3,571.5
504.3,571.5
646.3,576.5
141.3,580.5
784.3,581.5
497.5,582.5
738.3,582.5
193.5,584.5
391.3,584.5
523.3,584.5
285.3,585.5
205.3,586.5
770.3,587.5
