X,Y
179.3,99.5
777.962,122.346
569.3,141.5
260.3,145.5
352.5,146.5
396.25,155.833
573.3,161.5
762.3,165.5
692.3,171.5
145.3,174.5
296.038,176.654
711.3,176.5
173.3,181.5
515.3,195.5
61.5,196.5
111.3,200.5
412.3,202.5
346.3,203.5
573.3,213.5
205.3,214.5
225.5,215.5
263.3,220.5
494.3,222.5
413.3,224.5
204.3,234.5
591.167,243.389
75.3,260.5
480.5,264.5
651.3,265.5
775.3,266.5
296.3,267.5
132.3,270.5
376.3,270.5
186.3,276.5
310.3,277.5
338.136,281.409
238.3,284.5
453.3,285.5
374.3,288.5
261.833,290.233
347.3,296.5
685.3,296.5
121.3,298.5
411.3,301.5
475.3,301.5
86.3,302.5
211.3,305.5
636.3,307.5
508.3,312.5
123.962,321.654
41.3,326.5
620.3,329.5
601.3,330.5
183.3,348.5
369.3,348.5
334.3,360.5
187.3,364.5
530.3,366.5
451.5,373.929
687.3,373.5
279.3,374.5
86.3,375.5
478.3,387.5
306.3,389.5
368.3,390.6
277.3,391.5
473.3,398.5
615.3,401.5
70.3,405.5
326.318,408.318
215.3,408.5
376.3,408.5
304.3,411.5
560.5,424.5
135.3,425.5
313.3,427.5
480.3,436.5
71.3,439.5
468.3,441.5
688.3,446.5
168.3,450.5
206.3,451.5
145.5,464.5
385.5,464.5
181.3,470.5
303.167,476.611
163.3,479.5
330.3,482.5
768.5,487.5
731.3,511.5
362.3,520.5
145.3,525.5
420.3,537.5
684.3,580.5
