X,Y
63.3,69.5
68.3,71.5
87.3,75.5
63.167,86.611
82.3,86.5
750.0,88.5
785.857,98.214
84.3,105.5
447.3,125.5
427.3,133.5
705.929,139.5
674.312,141.688
695.0,147.5
619.3,154.5
278.3,161.5
386.136,161.409
402.3,161.5
220.1,163.9
642.3,165.5
212.3,169.5
374.3,172.5
352.5,173.5
397.3,173.5
229.433,176.9
477.3,178.5
516.577,181.808
20.3,182.5
422.3,185.5
233.1,188.1
474.3,188.5
485.3,191.5
383.167,195.389
517.3,199.5
195.3,201.5
213.778,201.889
227.611,206.056
255.167,207.389
213.5,212.167
387.3,212.5
794.0,214.056
397.3,214.5
198.3,216.5
188.3,221.5
398.3,227.5
617.3,228.5
632.3,228.5
74.3,235.5
50.3,237.5
161.3,240.5
77.3,246.5
149.962,252.346
635.3,260.5
393.3,265.5
411.3,275.5
698.667,276.583
356.3,282.5
629.3,282.5
706.3,283.5
546.3,284.5
275.3,285.5
616.3,291.5
179.3,292.5
423.5,295.75
402.3,296.5
358.3,299.5
724.5,300.167
371.3,305.5
643.409,307.318
662.3,309.5
424.136,315.591
172.3,319.5
564.3,323.5
189.667,325.417
578.3,326.5
178.3,333.5
189.3,339.5
735.667,341.583
752.5,342.167
732.038,349.654
394.0,358.056
454.3,357.5
378.136,360.409
718.3,362.5
648.222,367.667
642.312,370.375
660.357,370.571
125.333,377.333
734.409,378.318
88.3,378.5
143.3,378.5
364.3,378.5
111.3,379.5
140.136,384.591
386.3,384.5
642.0,386.25
748.346,386.038
405.962,387.654
158.3,391.5
232.3,393.5
594.3,393.5
628.3,393.5
392.3,396.5
421.136,399.409
612.0,401.5
603.633,404.033
666.3,403.5
763.3,411.5
462.136,418.591
708.3,420.5
443.722,424.0
589.5,430.125
756.0,430.214
465.735,434.265
679.333,433.417
437.136,434.591
246.417,440.167
589.3,439.5
704.5,439.5
436.3,442.5
578.3,446.5
271.3,447.5
237.5,451.5
344.3,452.5
565.5,453.667
404.3,454.5
718.967,456.367
554.214,458.0
300.136,461.409
704.5,462.125
273.3,463.5
415.3,469.5
310.143,471.714
735.227,474.682
407.1,475.3
711.3,478.5
93.5,479.5
233.3,479.5
443.136,480.591
393.667,481.417
731.312,481.688
766.3,481.5
789.688,482.312
161.5,490.5
635.667,491.583
754.0,491.786
76.808,492.5
718.0,494.214
766.1,495.9
757.5,499.346
740.1,504.1
76.3,513.5
189.3,519.5
598.038,519.654
737.786,520.0
351.3,520.5
339.136,521.409
433.633,521.967
163.3,522.5
201.3,524.5
151.3,525.5
421.071,525.786
265.3,529.5
314.25,530.125
610.3,530.5
300.3,531.5
507.5,531.833
151.3,533.5
229.3,535.5
535.9,535.9
168.3,539.5
523.3,539.5
581.3,540.5
272.3,542.5
685.192,555.423
705.1,556.1
451.3,579.5
589.3,580.5
