X,Y
473.3,14.5
352.3,21.5
640.3,21.5
585.3,30.5
213.3,34.5
762.3,34.5
292.3,38.5
781.3,40.5
720.3,42.5
761.3,46.5
740.3,49.5
481.3,62.5
358.3,69.5
245.3,70.5
502.3,73.5
614.3,74.5
729.3,74.5
309.3,78.5
644.3,78.5
376.3,80.5
349.3,85.5
365.3,85.5
493.3,85.5
597.3,85.5
229.3,90.5
372.3,94.5
362.3,96.5
505.3,101.5
702.3,109.5
718.3,109.5
242.3,114.5
518.3,114.5
541.3,116.5
482.3,120.5
496.3,120.5
146.3,122.5
728.3,124.5
601.3,125.5
752.3,125.5
593.3,133.5
738.3,136.5
202.3,137.5
509.3,138.5
584.3,146.5
496.3,161.5
488.3,176.5
268.3,178.5
742.3,178.5
356.3,186.5
564.3,190.5
488.3,193.5
449.3,194.5
250.3,197.5
152.3,198.5
584.3,204.5
572.3,206.5
724.3,208.5
277.3,210.5
750.3,210.5
221.3,212.5
605.3,212.5
480.3,213.5
490.3,216.5
201.3,220.5
741.3,226.5
497.3,232.5
705.3,237.5
96.3,238.5
217.3,241.5
673.3,245.5
194.3,246.5
597.3,248.5
653.3,248.5
576.3,252.5
484.3,253.5
682.3,262.5
705.3,262.5
668.3,265.5
601.3,269.5
80.3,270.5
529.3,272.5
574.3,276.5
476.3,282.5
713.3,282.5
568.3,292.5
764.3,300.5
776.3,300.5
504.3,304.5
750.3,306.5
633.3,309.5
500.3,320.5
749.3,320.5
738.3,322.5
678.3,324.5
550.3,332.5
432.3,337.5
516.3,349.5
69.3,358.5
418.3,365.5
638.3,366.5
85.3,373.5
121.3,378.5
660.3,382.5
688.3,394.5
757.3,418.5
740.3,420.5
500.3,424.5
410.3,425.5
461.3,428.5
600.3,428.5
510.3,432.5
746.3,432.5
765.3,434.5
132.3,438.5
486.3,440.5
716.3,441.5
185.3,444.5
554.3,445.5
730.3,445.5
456.3,448.5
748.3,449.5
126.3,452.5
505.3,453.5
433.3,456.5
645.3,458.5
777.3,458.5
410.3,461.5
458.3,468.5
741.3,469.5
677.3,474.5
434.3,478.5
596.3,484.5
201.3,488.5
418.3,488.5
750.3,490.5
662.3,493.5
120.3,496.5
586.3,497.5
568.3,500.5
734.3,502.5
490.3,508.5
662.3,510.5
433.3,512.5
498.3,522.5
701.3,524.5
476.3,528.5
494.3,533.5
482.3,534.5
456.3,536.5
130.3,541.5
684.3,541.5
426.3,546.5
512.409,556.318
522.3,557.5
672.3,558.5
693.3,561.5
290.3,564.5
454.3,566.5
432.3,569.5
201.3,573.5
186.3,576.5
673.3,576.5
658.3,577.5
608.3,580.5
561.3,584.5
640.3,584.5
593.3,588.5
192.3,593.5
