X,Y
484.192,5.538
246.192,10.462
594.292,11.708
341.46,25.38
295.935,30.5
495.167,30.233
156.3,31.567
213.167,33.722
196.308,39.808
505.154,40.038
540.06,40.26
691.983,48.328
391.804,50.37
627.0,50.5
336.833,70.5
336.154,77.692
629.463,83.87
512.278,85.056
512.154,93.654
172.0,94.5
760.0,98.5
382.083,104.375
60.0,103.8
354.731,113.923
298.364,115.955
105.611,125.667
761.667,128.583
197.868,130.132
783.661,132.532
419.339,134.306
391.321,158.357
679.921,157.605
71.773,165.455
230.55,185.6
131.611,196.556
29.46,198.62
311.625,205.5
399.923,205.615
343.5,206.426
766.071,206.548
115.679,219.321
770.413,236.326
362.083,239.208
256.367,262.233
102.1,297.46
707.042,300.042
115.315,305.537
101.444,312.5
513.69,314.452
599.0,315.4
615.864,375.227
292.273,380.136
357.409,381.591
280.132,390.132
276.038,409.654
123.929,413.595
744.0,419.5
94.107,421.75
439.37,422.543
88.7,422.9
205.269,426.423
535.577,427.5
717.98,436.34
529.717,439.587
106.143,446.286
569.352,459.278
665.4,460.067
103.923,461.423
391.726,462.274
651.944,476.426
309.885,481.769
740.088,483.618
724.024,485.452
237.125,497.583
751.346,500.346
711.761,501.457
112.017,510.052
412.371,523.823
559.5,526.196
94.071,533.714
88.5,535.0
320.077,538.115
613.962,542.346
292.1,573.26
603.333,571.417
413.5,576.638
158.077,583.731
250.278,586.167
199.69,593.452
