X,Y
692.3,8.5
289.3,12.5
307.3,25.5
357.3,46.5
293.3,50.5
324.3,50.5
699.3,57.5
353.5,63.5
643.346,66.038
323.3,72.5
624.5,72.5
296.3,73.5
407.3,85.5
792.3,85.5
299.3,86.5
325.3,95.5
276.3,97.5
768.5,99.5
265.3,101.5
398.3,101.5
289.3,102.5
789.5,106.591
773.3,121.5
266.3,123.5
759.3,130.5
275.3,132.5
782.3,135.5
266.3,137.5
751.167,145.389
315.3,155.5
356.3,162.5
476.3,162.5
283.3,172.5
414.3,172.5
502.3,176.5
298.3,179.5
497.682,188.318
290.3,204.5
532.3,207.5
279.3,208.5
508.3,208.5
319.3,213.5
261.3,216.5
288.3,216.5
432.389,224.611
303.3,228.5
390.3,237.5
374.3,248.5
249.3,256.5
363.3,259.5
412.3,278.5
297.3,284.5
334.3,303.5
386.3,304.5
275.3,305.5
261.3,308.5
289.3,312.5
310.3,314.5
423.3,318.5
276.3,321.5
373.3,321.5
414.3,337.5
717.3,343.5
372.3,346.5
299.3,347.5
311.3,352.5
425.3,359.5
607.3,360.5
99.3,363.5
292.3,368.5
436.3,369.5
720.3,377.5
350.3,386.5
746.3,392.5
331.3,436.5
430.3,442.5
342.3,446.5
330.3,456.5
520.3,459.5
354.3,465.5
570.3,468.5
533.3,469.5
555.3,471.5
331.3,475.5
519.3,479.5
313.3,483.5
535.3,484.5
521.3,495.5
568.3,501.5
536.3,502.5
502.0,522.0
514.3,536.5
475.5,539.711
295.3,542.5
279.3,544.5
316.3,548.5
483.318,551.682
446.714,563.714
476.3,563.5
492.3,563.5
478.3,577.5
289.5,579.5
69.3,587.5
