X,Y
186.885,9.115
264.0,11.0
687.885,11.115
539.0,12.0
571.2,13.2
290.2,14.2
233.0,20.0
548.2,21.2
246.0,22.0
185.885,25.115
318.318,26.318
528.045,27.136
518.045,29.136
231.045,31.136
250.045,33.136
281.2,35.2
564.318,35.318
298.318,36.318
328.5,36.3
267.045,44.136
512.045,45.136
530.045,45.136
290.318,48.318
354.5,48.3
568.318,50.318
322.318,51.318
309.318,54.318
582.318,55.318
638.5,55.3
259.0,59.3
701.864,59.409
498.864,62.409
347.5,64.3
519.0,67.3
324.318,69.318
489.864,68.409
462.864,69.409
296.3,70.5
643.5,70.5
662.5,73.5
506.864,74.409
628.5,74.5
266.136,76.409
334.318,78.318
306.3,80.5
280.3,81.5
651.5,81.5
458.864,82.409
608.5,83.5
787.0,86.3
252.0,89.3
300.3,89.5
328.3,90.5
400.7,91.5
279.3,92.5
646.5,95.5
772.864,96.409
256.136,100.409
398.7,100.5
306.3,102.5
289.3,104.5
792.136,104.409
585.3,105.5
459.864,106.409
478.864,107.409
546.3,108.5
447.864,109.409
490.864,111.409
792.136,113.409
595.5,116.5
467.864,119.409
457.864,121.409
768.0,121.5
267.3,125.5
532.3,125.5
486.864,129.409
272.3,131.5
756.864,131.409
782.0,131.5
793.136,131.591
503.0,132.5
467.864,134.409
264.136,138.591
584.3,139.5
399.7,142.5
483.0,142.5
792.136,144.591
498.0,146.5
318.5,151.7
269.136,154.591
746.962,154.654
582.5,156.7
492.962,158.654
473.833,161.75
451.682,162.682
404.682,164.682
355.5,166.7
440.682,171.682
459.833,171.75
502.0,172.786
409.682,174.682
298.25,178.833
283.25,179.833
492.885,179.885
416.682,189.682
279.115,191.885
495.885,195.885
585.409,195.864
665.682,199.682
600.409,201.864
517.0,206.0
288.115,206.885
273.115,209.885
508.0,212.0
260.0,214.0
288.115,216.885
313.409,218.864
628.409,224.864
304.409,227.864
324.409,227.864
431.885,232.885
535.0,236.0
520.0,239.0
676.75,238.833
384.409,239.864
502.0,240.0
640.409,243.864
481.0,246.0
668.654,247.962
372.409,248.864
244.0,251.0
512.0,251.0
527.0,257.0
367.409,257.864
474.0,261.0
691.885,260.885
452.0,267.0
684.786,270.0
521.0,272.0
286.0,273.0
306.136,273.045
408.654,272.962
236.0,278.0
297.136,284.045
228.0,286.0
751.0,287.0
451.0,288.0
404.591,289.136
273.0,293.0
513.0,293.0
735.0,297.0
369.5,298.3
352.5,301.3
337.409,304.136
257.0,306.0
275.0,306.0
380.5,307.3
416.885,311.115
290.136,312.045
723.885,313.115
504.0,314.0
257.0,317.0
436.885,317.115
456.885,317.115
377.5,318.3
309.2,320.2
558.2,320.2
274.045,321.136
521.0,321.0
338.5,323.3
473.885,323.115
729.885,325.115
263.045,329.136
379.5,330.3
652.5,330.3
693.833,330.25
427.833,333.25
556.2,333.2
318.318,334.318
668.5,334.3
409.682,335.318
305.318,337.318
686.833,339.25
506.045,340.136
528.045,340.136
746.917,341.25
374.5,342.3
706.833,342.25
720.864,345.409
291.318,349.318
310.318,350.318
21.318,352.318
419.7,353.5
15.318,358.318
580.318,359.318
723.864,359.409
500.0,360.3
604.5,361.3
713.864,362.409
82.5,364.3
96.5,364.3
570.318,364.318
541.3,364.5
446.864,366.409
675.7,367.5
657.5,371.5
435.864,373.409
516.0,374.3
283.3,375.5
718.864,375.409
735.864,378.409
375.5,379.5
253.0,383.3
350.5,383.5
440.864,388.409
749.864,389.409
365.5,392.5
495.864,393.409
354.5,399.5
436.7,403.5
514.0,415.5
50.3,416.5
335.5,427.5
420.7,430.5
453.7,433.5
327.5,435.5
485.864,435.409
526.136,438.591
431.7,439.5
48.3,445.5
78.5,445.5
339.5,449.5
474.682,453.682
453.682,454.682
324.5,455.7
553.3,455.5
64.5,457.7
350.5,461.7
64.5,463.7
522.083,464.75
439.682,465.682
454.682,466.682
334.5,467.7
552.318,467.682
570.318,470.682
531.115,474.885
439.682,478.682
520.115,478.885
328.5,479.7
544.115,481.885
312.409,485.864
534.115,487.885
477.885,488.885
453.885,493.885
520.115,493.885
559.25,494.833
535.115,501.885
551.115,502.885
568.25,509.833
520.0,511.0
533.0,519.0
517.0,521.0
483.885,527.885
501.0,531.0
435.885,532.885
531.0,536.0
481.885,538.885
509.0,539.0
107.409,540.864
93.409,541.864
275.0,544.0
289.0,544.0
308.409,543.864
442.885,548.885
478.0,550.0
526.0,551.0
500.0,552.0
263.0,554.0
459.885,554.885
413.654,556.962
435.885,558.885
522.0,561.0
445.885,564.885
412.654,568.962
66.409,569.864
473.0,570.0
133.5,571.0
425.786,576.0
447.0,577.0
440.0,579.0
267.0,580.0
375.5,584.0
410.75,584.083
463.0,586.0
83.409,590.136
290.136,590.045
62.3,592.0
446.885,594.115
