X,Y
640.3,17.5
365.3,36.5
345.3,38.5
657.3,44.5
686.3,45.5
250.3,48.5
189.3,64.5
258.3,64.5
225.3,66.5
242.3,72.5
440.3,81.5
182.3,88.5
222.3,88.5
525.3,112.5
510.3,116.5
304.3,118.5
524.3,134.5
648.3,140.5
697.3,141.5
504.3,142.5
546.3,142.5
664.3,154.5
352.3,165.5
524.3,165.5
701.3,165.5
184.3,176.5
596.3,177.5
694.3,181.5
346.3,185.5
442.3,186.5
141.3,188.5
174.3,188.5
578.3,188.5
422.3,194.5
162.3,196.5
582.3,198.5
544.3,200.5
404.3,201.5
561.3,205.5
465.3,208.5
398.3,214.5
529.3,217.5
426.3,218.5
373.3,220.5
561.3,222.5
454.3,224.5
574.3,229.5
625.3,233.5
410.3,234.5
129.3,236.5
360.3,238.5
562.3,241.5
332.3,244.5
410.3,250.5
142.3,253.5
120.3,256.5
478.3,265.5
618.3,265.5
716.3,265.5
694.3,286.5
46.3,308.5
72.3,313.5
206.3,313.5
196.3,322.5
350.3,322.5
57.3,325.5
396.3,325.5
32.3,326.5
505.3,340.5
16.3,341.5
97.3,346.5
600.3,348.5
408.3,349.5
654.3,353.5
549.3,358.5
585.3,361.5
685.3,365.5
608.3,381.5
190.3,384.5
544.3,385.5
174.3,393.5
508.3,393.5
725.3,394.5
300.3,396.5
593.3,398.5
648.3,400.5
484.3,401.5
102.3,402.5
129.3,402.5
733.3,412.5
710.3,413.5
720.3,421.5
684.3,422.5
700.3,425.5
424.3,430.5
496.3,430.5
742.3,432.5
657.3,437.5
621.3,438.5
457.3,441.5
549.3,446.5
708.3,446.5
696.3,449.5
676.3,452.5
297.808,457.5
580.3,457.5
749.3,457.5
198.3,458.5
729.3,470.5
752.3,473.5
45.3,476.5
372.3,478.5
625.3,482.5
736.3,486.5
668.3,493.5
754.3,494.5
646.3,508.5
172.3,510.5
525.3,520.5
686.3,528.5
129.3,530.5
734.3,532.5
116.3,540.5
665.3,540.5
677.3,546.5
642.3,552.5
158.3,556.5
128.3,565.5
180.3,576.5
306.3,576.5
153.3,577.5
120.3,580.5
644.3,588.5
