X,Y
197.46,7.9
693.357,11.429
544.548,14.024
449.909,16.773
172.182,23.318
299.333,22.583
523.0,30.115
590.208,30.333
321.763,31.237
489.5,33.833
219.357,39.929
250.0,42.214
567.8,42.4
261.3,44.433
281.357,44.5
296.0,46.214
311.333,46.583
491.25,55.821
604.286,56.429
566.31,59.643
314.038,61.654
593.875,63.25
517.907,72.13
338.318,74.318
589.364,77.455
262.452,82.31
359.971,82.147
270.024,94.548
377.286,97.714
317.3,118.62
184.0,133.5
214.136,136.591
92.1,140.1
29.328,150.328
219.667,155.417
111.0,158.214
590.143,161.786
69.167,163.583
185.318,167.682
700.136,167.409
91.182,180.455
140.0,179.786
80.289,181.5
218.152,181.674
720.0,184.0
567.7,191.567
92.136,196.591
122.1,199.9
102.364,202.545
65.735,205.735
87.45,213.6
103.891,223.457
276.31,223.69
724.088,226.382
259.909,238.227
748.0,239.5
728.0,248.214
81.786,250.357
28.136,266.591
263.595,270.405
336.3,275.65
716.136,276.591
315.405,280.024
19.147,281.676
42.136,284.591
297.1,285.46
335.458,292.5
795.5,294.654
274.409,297.591
246.115,300.154
291.816,310.447
22.364,322.5
250.0,323.722
274.25,323.875
294.367,326.433
693.6,329.45
163.433,332.367
285.553,337.553
271.184,341.395
29.6,342.55
245.5,350.167
149.618,361.794
416.342,362.184
285.553,363.553
290.409,377.591
137.5,383.346
459.5,390.306
162.188,393.625
450.077,404.423
396.065,404.674
376.119,408.5
325.26,415.46
369.796,422.13
345.278,423.833
251.079,423.711
413.9,431.46
247.37,438.543
406.06,445.58
384.431,453.845
475.093,453.574
244.06,462.26
131.5,470.654
150.1,476.1
279.315,478.463
125.553,486.447
153.5,491.147
306.208,496.5
131.167,502.458
102.283,508.196
151.875,513.75
549.964,520.214
140.312,521.688
109.45,525.6
455.773,525.545
518.342,526.184
432.405,541.595
463.143,544.536
170.038,544.654
382.182,548.364
483.167,549.375
168.125,551.75
518.15,553.75
526.447,554.342
440.326,557.5
469.45,562.4
403.5,563.833
503.727,578.455
452.0,581.417
400.077,584.231
