X,Y
81.5,374.5
109.3,374.5
92.3,380.5
117.3,385.5
754.3,385.5
766.3,385.5
85.3,386.5
482.3,394.5
500.3,396.5
621.3,397.5
27.3,399.5
369.3,400.5
499.3,402.5
576.5,403.5
11.3,405.5
476.3,406.5
31.3,408.5
491.3,408.5
73.3,411.5
375.3,412.5
359.3,417.5
371.3,425.5
511.167,428.611
170.3,431.5
383.167,435.389
511.3,442.5
375.3,450.5
436.3,471.5
13.3,483.5
119.3,499.5
309.3,503.5
301.3,506.5
327.3,506.5
105.3,507.5
276.3,509.5
216.3,513.5
433.3,515.5
312.3,517.5
200.3,518.5
351.3,525.5
193.3,526.5
211.3,526.5
380.3,538.5
393.3,542.5
365.3,549.5
214.3,551.5
210.3,558.5
224.3,559.5
419.3,560.5
226.3,573.5
347.3,581.5
333.3,588.5
