SN,filename,number_of_cells
10,220909_GFP-AHPC_D_GFAP_F9_Cy3_ND2_20x.csv,5
2,220909_GFP-AHPC_D_GFAP_F8_Cy3_ND2_20x.csv,0
3,220909_GFP-AHPC_D_GFAP_F7_Cy3_ND2_20x.csv,4
11,220909_GFP-AHPC_D_GFAP_F6_Cy3_ND2_20x.csv,0
13,220909_GFP-AHPC_D_GFAP_F3_Cy3_ND2_20x.csv,1
20,220909_GFP-AHPC_D_GFAP_F2_Cy3_ND2_20x.csv,1
6,220909_GFP-AHPC_C_GFAP_F9_Cy3_ND2_20x.csv,0
7,220909_GFP-AHPC_C_GFAP_F7_Cy3_ND2_20x.csv,2
5,220909_GFP-AHPC_C_GFAP_F6_Cy3_ND2_20x.csv,0
14,220909_GFP-AHPC_C_GFAP_F5_Cy3_ND2_20x.csv,2
21,220909_GFP-AHPC_C_GFAP_F4_Cy3_ND2_20x.csv,0
18,220909_GFP-AHPC_C_GFAP_F3_Cy3_ND2_20x.csv,0
23,220909_GFP-AHPC_B_GFAP_F8_Cy3_ND2_20x.csv,0
16,220909_GFP-AHPC_B_GFAP_F6_Cy3_ND2_20x.csv,1
8,220909_GFP-AHPC_B_GFAP_F4_Cy3_ND2_20x.csv,0
9,220909_GFP-AHPC_B_GFAP_F3_Cy3_ND2_20x.csv,0
1,220909_GFP-AHPC_B_GFAP_F2_Cy3_ND2_20x.csv,2
17,220909_GFP-AHPC_B_GFAP_F10_Cy3_ND2_20x.csv,0
24,220909_GFP-AHPC_A_GFAP_F9_Cy3_ND2_20x.csv,7
15,220909_GFP-AHPC_A_GFAP_F7_Cy3_ND2_20x.csv,12
19,220909_GFP-AHPC_A_GFAP_F6_Cy3_ND2_20x.csv,16
4,220909_GFP-AHPC_A_GFAP_F4_Cy3_ND2_20x.csv,16
12,220909_GFP-AHPC_A_GFAP_F10_Cy3_ND2_20x.csv,10
