X,Y
117.5,9.75
392.3,12.5
145.3,17.5
292.3,25.5
204.3,36.5
318.3,37.5
482.3,48.5
250.3,57.5
294.3,60.5
661.3,61.5
376.3,65.5
192.3,68.5
317.3,72.5
417.3,72.5
476.3,73.5
102.3,74.5
298.3,77.5
149.3,81.5
133.3,82.5
333.3,82.5
96.3,84.5
653.3,85.5
282.409,92.318
109.3,93.5
406.3,97.5
62.3,102.5
185.3,102.5
353.3,102.5
529.3,102.5
676.3,104.5
705.3,105.5
473.3,116.5
258.3,117.5
786.3,120.5
102.3,121.5
280.3,121.5
69.3,125.5
141.3,125.5
490.3,128.5
769.3,129.5
372.3,132.5
472.3,133.5
297.3,134.5
314.3,136.5
80.3,141.5
188.3,145.5
441.3,149.5
348.3,150.5
108.3,152.5
389.3,154.5
474.3,157.5
789.3,157.5
426.3,160.5
526.3,160.5
554.3,166.5
185.3,168.5
202.3,169.5
622.3,170.5
165.3,172.5
297.3,172.5
228.3,173.5
722.3,173.5
322.3,176.5
513.3,180.5
782.3,180.5
564.3,184.5
101.3,185.5
457.3,185.5
174.3,186.5
586.3,186.5
204.3,188.5
228.3,192.5
426.3,194.5
690.3,194.5
734.3,194.5
41.3,197.5
388.3,198.5
476.3,198.5
73.3,201.5
190.3,202.5
666.3,202.5
374.3,206.5
213.3,208.5
513.3,209.5
590.3,209.5
165.3,210.5
446.3,210.5
753.3,210.5
25.3,213.5
481.3,216.5
780.3,216.5
654.3,217.5
345.3,218.5
368.3,220.5
197.3,221.5
390.3,221.5
420.3,224.5
450.3,226.5
340.3,233.5
162.3,234.5
129.3,236.5
66.136,237.409
145.3,250.5
769.3,250.5
489.3,252.5
261.3,253.5
321.3,253.5
446.3,256.5
76.3,257.5
785.3,258.5
46.3,260.5
509.3,260.5
102.3,266.5
9.3,268.5
312.3,270.5
528.3,272.5
73.3,273.5
788.3,276.5
341.3,281.5
108.3,282.5
389.3,282.5
713.3,282.5
406.3,286.5
484.3,289.5
232.3,296.5
356.3,296.5
746.3,296.5
654.3,298.5
246.3,304.5
76.3,308.5
392.3,309.5
308.3,313.5
474.3,313.5
714.3,314.5
756.3,316.5
117.3,322.5
505.3,324.5
336.3,325.5
681.3,325.5
282.3,326.5
533.3,329.5
376.3,332.5
420.3,336.5
120.3,341.5
522.3,341.5
785.3,341.5
676.3,342.5
138.3,348.5
344.3,349.5
741.3,349.5
545.3,350.5
480.3,352.5
445.3,354.5
117.3,356.5
398.3,356.5
681.3,356.5
373.3,357.5
729.3,365.5
461.3,366.5
554.3,370.5
578.3,370.5
777.3,374.5
592.3,380.5
745.3,385.5
572.3,388.5
277.3,389.5
545.3,389.5
688.3,393.5
618.3,394.5
728.3,396.5
776.3,396.5
445.3,398.5
114.3,401.5
317.3,401.5
605.3,405.5
254.3,408.5
281.3,408.5
577.3,408.5
557.3,409.5
660.3,412.5
688.3,412.5
530.3,413.5
508.3,414.5
406.3,417.5
220.3,421.5
169.3,422.5
362.3,422.5
310.3,425.5
573.3,426.5
698.3,426.5
630.3,432.5
514.3,433.5
556.3,434.5
224.3,436.5
662.3,437.5
534.3,440.5
573.3,442.5
701.3,450.5
21.3,452.5
460.3,452.5
637.3,452.5
217.3,457.5
441.3,460.5
200.417,462.167
620.3,470.5
728.3,472.5
217.25,476.167
380.3,476.5
748.3,476.5
600.3,478.5
410.3,489.5
334.3,490.5
268.3,494.5
366.3,496.5
312.3,497.5
426.3,508.5
616.3,508.5
638.3,510.5
272.346,512.962
325.3,514.5
585.3,516.5
501.3,517.5
97.3,520.5
704.3,521.5
349.3,526.5
617.3,528.5
329.3,533.5
640.3,534.5
584.3,536.5
678.3,537.5
369.3,538.5
709.3,538.5
424.3,541.5
452.3,542.5
489.3,542.5
521.3,542.5
562.3,546.5
434.188,550.75
734.3,550.5
420.3,561.5
550.3,561.5
770.3,561.5
493.3,564.5
106.3,565.5
701.3,568.5
672.3,570.5
532.3,573.5
741.3,573.5
653.3,574.5
470.3,580.5
706.3,584.5
