X,Y
462.3,2.5
477.0,6.5
299.3,7.5
310.3,7.5
288.3,11.5
605.3,19.5
312.3,26.5
606.3,31.5
293.3,32.5
625.5,32.5
553.3,33.5
568.3,34.5
545.5,42.5
579.3,42.5
284.3,43.5
688.3,49.5
313.3,50.5
707.5,52.25
567.3,52.5
169.3,54.5
181.3,55.5
283.3,55.5
94.3,56.5
308.136,59.409
484.3,60.5
698.3,60.5
56.0,61.786
227.3,61.5
258.3,61.5
727.3,61.5
242.3,62.5
679.3,63.5
157.3,64.5
275.3,64.5
302.3,68.5
326.3,68.5
522.3,68.5
713.3,69.5
791.3,69.5
345.3,72.5
249.3,73.5
292.3,73.5
494.3,73.5
666.3,74.5
321.3,80.5
334.3,81.5
705.3,81.5
717.3,81.5
62.3,82.5
263.3,82.5
672.3,83.5
510.3,85.5
523.3,87.5
280.3,90.5
304.3,91.5
644.3,91.5
320.3,92.5
539.3,92.5
694.929,94.5
710.136,94.409
561.3,95.5
576.3,96.5
659.3,97.5
796.3,98.5
679.3,100.5
634.3,110.5
695.3,111.5
763.3,113.5
678.3,114.5
798.409,116.318
557.3,118.5
617.3,119.5
645.3,119.5
17.5,121.5
665.3,123.5
293.3,128.5
680.0,129.5
791.3,131.5
238.3,132.5
759.3,135.5
326.3,136.5
311.3,137.5
688.3,138.5
255.136,139.409
492.3,143.5
69.3,144.5
775.3,145.5
793.3,145.5
6.3,146.5
21.3,146.5
87.3,148.5
469.3,148.5
287.3,150.5
328.3,150.5
509.3,150.5
703.3,152.5
303.3,153.5
479.3,153.5
520.3,153.5
551.3,153.5
765.375,154.5
315.3,155.5
494.3,155.5
61.3,160.5
611.3,165.5
545.5,169.5
560.3,169.5
255.3,174.5
738.3,176.5
123.3,181.5
773.3,181.5
796.3,184.5
688.3,188.5
390.3,199.5
797.3,200.5
15.3,201.5
122.3,206.5
403.3,212.5
135.3,213.5
24.3,215.5
528.3,217.5
48.3,218.5
85.3,220.5
643.3,222.5
42.3,226.5
60.3,227.5
570.3,228.5
24.3,231.5
144.3,233.5
101.3,237.5
682.3,239.5
694.3,242.5
90.3,245.5
156.3,246.5
123.3,248.5
641.5,249.5
19.3,253.5
137.3,254.5
7.3,260.5
44.3,264.5
398.3,265.5
169.3,266.5
60.3,268.5
121.3,268.5
15.3,276.5
44.3,278.5
430.3,278.5
59.3,287.5
264.3,287.5
448.389,287.389
118.3,293.5
138.3,294.5
65.3,297.5
466.3,297.5
548.3,297.5
576.3,298.5
594.3,299.5
486.3,301.5
92.3,304.5
105.3,306.5
184.3,306.5
30.3,307.5
204.3,307.5
497.3,307.5
527.3,309.5
76.3,310.5
611.3,311.5
489.3,312.5
136.3,313.5
509.3,313.5
161.5,317.5
10.3,319.5
173.3,321.5
274.3,324.5
185.3,325.5
503.3,325.5
625.5,325.5
137.3,326.5
520.3,326.5
220.3,327.5
534.3,327.5
19.3,328.5
152.227,330.318
82.3,331.5
10.3,332.5
637.3,332.5
163.3,334.5
181.3,335.5
519.3,339.5
52.3,340.5
542.3,341.5
645.3,344.5
68.3,345.5
128.3,345.5
172.3,345.5
213.3,345.5
533.3,345.5
198.3,346.5
184.3,347.5
40.3,350.5
570.3,351.5
97.3,352.5
510.3,352.5
546.3,352.5
526.3,355.5
200.3,356.5
669.3,356.5
58.3,357.5
652.3,357.5
80.3,360.5
97.3,362.5
582.3,363.5
670.1,364.1
40.3,364.5
227.3,366.5
531.3,366.5
164.3,368.5
514.3,369.5
94.3,371.5
179.3,371.5
246.3,371.5
676.0,376.214
595.3,376.5
660.3,376.5
161.3,377.5
148.3,378.5
691.3,379.5
112.3,380.5
580.3,381.5
43.3,383.5
519.3,383.5
237.3,385.5
530.3,387.5
562.3,390.5
514.3,392.5
638.3,392.5
648.3,392.5
660.3,392.5
691.3,392.5
177.3,393.5
254.3,393.5
165.3,394.5
584.3,395.5
110.3,397.5
306.3,398.5
218.3,399.5
499.3,399.5
545.5,402.5
600.3,403.5
155.3,405.5
267.3,405.5
667.3,406.5
348.038,408.346
521.3,407.5
228.3,408.5
654.3,408.5
293.3,410.5
387.3,410.5
507.3,410.5
485.3,412.5
189.3,413.5
308.3,413.5
324.3,414.5
398.3,415.5
691.3,418.5
620.3,419.5
278.3,420.5
669.3,421.5
205.3,422.5
353.5,423.5
491.3,423.5
243.3,424.5
333.3,424.5
463.3,424.5
373.3,425.5
640.3,425.5
265.3,426.5
507.3,426.5
656.3,426.5
534.3,427.5
583.3,428.5
319.3,429.5
396.3,430.5
523.3,430.5
454.0,431.5
680.3,432.5
306.3,436.5
386.3,436.5
509.3,437.5
565.3,440.5
546.3,441.5
631.3,442.5
691.3,443.5
262.3,447.5
410.3,448.5
303.3,449.5
279.3,450.5
659.3,450.5
394.3,451.5
423.3,453.5
507.3,453.5
709.3,453.5
319.3,457.5
613.3,460.5
674.3,460.5
415.417,462.167
633.3,461.5
382.3,464.5
398.3,465.5
682.3,466.5
699.3,466.5
658.3,468.5
604.3,470.5
563.3,473.5
644.3,473.5
670.3,475.5
615.3,477.5
567.3,481.5
584.3,482.5
403.3,484.5
630.3,484.5
676.3,484.5
659.3,486.5
642.3,488.5
481.5,489.5
557.3,492.5
523.3,494.5
621.3,494.5
474.3,497.5
696.3,499.5
569.3,501.5
679.3,501.5
712.3,502.5
516.3,508.5
726.3,508.5
496.3,510.5
677.3,512.5
439.3,529.5
775.667,532.583
756.3,543.5
770.3,552.5
754.3,555.5
740.3,559.5
720.3,573.5
738.3,580.5
110.3,585.5
719.3,585.5
749.3,589.5
704.3,591.5
118.3,592.5
768.318,593.682
780.3,596.5
721.3,598.5
