X,Y
324.3,15.5
210.3,36.5
234.3,37.5
143.3,45.5
157.3,46.5
181.3,46.5
135.3,56.5
141.3,63.5
175.3,83.5
137.3,97.5
676.3,107.5
450.3,111.5
132.3,122.5
132.3,147.5
230.136,155.409
228.3,170.5
548.3,181.5
420.3,190.5
207.3,193.5
225.3,194.5
551.3,196.5
524.3,210.5
219.115,215.731
505.3,219.5
526.3,228.5
514.3,231.5
498.3,233.5
484.3,244.5
499.3,244.5
215.3,246.5
232.3,254.5
246.3,265.5
399.3,269.5
411.3,281.5
424.3,285.5
223.3,297.5
201.3,300.5
513.5,335.5
492.3,337.5
639.3,345.5
551.3,370.5
561.3,371.5
566.3,400.5
317.3,417.5
343.3,417.5
374.3,418.5
563.3,418.5
357.3,422.5
547.3,442.5
566.3,456.5
441.3,461.5
315.3,467.5
428.3,467.5
564.3,470.5
327.3,477.5
546.3,477.5
406.3,484.5
316.3,485.5
438.3,485.5
181.3,487.5
417.3,489.5
196.3,492.5
330.3,492.5
409.286,495.714
531.667,496.583
550.3,496.5
445.3,497.5
299.3,501.5
180.3,502.5
315.5,502.409
324.3,503.5
524.3,507.5
418.214,509.357
538.3,508.5
401.433,510.367
309.3,514.5
449.5,514.5
322.3,515.5
389.3,515.5
567.3,523.5
332.0,524.5
387.3,527.5
354.409,531.682
320.3,534.5
377.3,545.5
547.3,562.5
363.3,567.5
558.3,568.5
353.5,581.5
547.3,583.5
152.3,586.5
569.3,586.5
362.3,589.5
560.3,594.5
117.3,595.5
