X,Y
658.3,84.5
606.3,104.5
718.3,104.5
384.3,113.5
705.3,114.5
609.3,144.5
437.3,150.5
468.3,152.5
588.3,154.5
614.3,162.5
579.853,166.794
540.3,169.5
600.3,173.5
432.3,176.5
466.3,178.5
626.3,178.5
424.3,194.5
589.3,210.5
16.3,213.5
368.3,213.5
257.5,217.5
644.3,222.5
500.3,226.5
280.3,228.5
660.3,228.5
685.3,229.5
594.3,236.5
466.3,240.5
554.3,241.5
294.3,249.5
390.3,250.5
149.3,257.5
372.3,260.5
406.3,261.5
173.3,262.5
132.3,276.5
172.833,277.767
409.3,280.5
426.3,288.5
242.3,292.5
173.3,296.5
564.3,296.5
438.3,298.5
538.3,300.5
606.3,306.5
285.3,310.5
634.3,310.5
162.3,312.5
134.3,313.5
556.3,318.5
401.3,324.5
613.3,324.5
294.3,325.5
520.3,326.5
281.688,338.812
689.3,340.5
673.3,342.5
692.409,350.682
565.3,354.5
613.346,361.962
586.3,362.5
556.3,365.5
546.3,394.5
233.3,401.5
593.136,405.409
466.3,412.5
472.3,434.5
426.3,440.5
506.3,442.5
404.3,453.5
689.3,457.5
436.3,458.5
697.3,466.5
736.3,481.5
346.3,490.5
713.3,514.5
694.3,534.5
745.3,562.5
666.3,572.5
