X,Y
317.3,14.5
16.3,29.5
333.3,29.5
529.3,34.5
296.3,40.5
412.136,48.409
788.3,49.5
425.3,53.5
306.3,61.5
402.3,64.5
425.3,68.5
392.3,69.5
610.3,70.5
777.382,72.912
701.3,74.5
414.3,76.5
528.3,76.5
454.3,81.5
596.3,82.5
622.3,84.5
381.3,86.5
404.3,88.5
156.3,89.5
542.3,89.5
749.3,98.5
228.3,100.5
718.3,180.5
440.3,184.5
464.3,189.5
520.3,190.5
708.3,193.5
770.3,194.5
757.3,197.5
256.3,201.5
222.3,206.5
242.3,208.5
385.3,208.5
402.3,208.5
768.3,208.5
752.3,212.5
268.3,213.5
520.3,213.5
282.3,216.5
497.3,217.5
217.3,220.5
52.3,224.5
198.3,224.5
258.3,228.5
565.3,228.5
388.3,230.5
432.3,232.5
464.3,233.5
502.3,233.5
401.3,234.5
522.3,237.5
212.3,238.5
550.3,241.5
296.3,242.5
416.3,242.5
392.3,248.5
609.3,252.5
477.3,261.5
457.3,270.5
532.3,270.5
190.3,272.5
344.3,276.5
770.3,276.5
384.3,278.5
433.3,280.5
564.3,280.5
361.3,281.5
744.3,285.5
309.3,288.5
548.3,289.5
717.3,290.5
450.3,292.5
381.3,294.5
85.3,296.5
102.3,296.5
517.3,296.5
352.3,298.5
433.3,298.5
690.3,301.5
202.3,302.5
540.3,302.5
676.3,302.5
305.3,304.5
730.3,304.5
373.3,306.5
464.3,308.5
501.3,308.5
185.3,310.5
664.3,310.5
717.3,310.5
388.3,312.5
781.3,312.5
68.3,316.5
42.3,318.5
122.3,324.5
790.3,326.5
644.3,328.5
381.3,329.5
98.3,330.5
153.3,330.5
54.3,333.5
702.3,333.5
768.3,334.5
234.3,337.5
277.3,337.5
597.3,337.5
30.3,338.5
670.3,338.5
376.3,342.5
358.3,346.5
566.3,346.5
458.3,348.5
41.3,349.5
305.3,350.5
474.3,350.5
686.3,350.5
137.3,353.5
541.3,353.5
384.3,356.5
500.3,356.5
249.962,358.346
640.3,357.5
742.3,357.5
450.3,358.5
285.3,362.5
325.3,364.5
368.3,365.5
609.3,365.5
460.3,366.5
704.3,366.5
537.3,369.5
44.3,370.5
722.3,370.5
449.3,373.5
708.3,377.5
234.3,378.5
334.3,381.5
426.3,381.5
478.3,384.5
38.3,386.5
77.3,386.5
272.3,386.5
536.3,386.5
700.3,386.5
124.3,388.5
724.3,388.5
633.3,389.5
82.3,392.5
718.136,392.591
102.3,393.5
57.3,394.5
128.3,398.5
752.3,398.5
76.3,402.5
220.3,408.5
242.3,408.5
21.3,409.5
78.409,410.318
370.3,412.5
474.3,412.5
46.3,414.5
304.5,414.5
390.136,414.591
66.3,422.5
742.3,422.5
325.3,424.5
553.3,424.5
276.3,425.5
437.3,425.5
580.3,429.5
686.3,434.5
262.3,437.5
476.3,440.5
90.3,446.5
520.136,446.409
588.3,452.5
564.3,453.5
365.808,458.5
501.3,458.5
428.3,460.5
469.3,460.5
380.3,464.5
68.3,465.5
97.3,465.5
253.3,465.5
446.3,465.5
684.3,468.5
185.3,470.5
355.633,473.567
282.3,477.5
82.3,478.5
257.3,478.5
370.3,480.5
464.3,480.5
449.115,482.115
340.3,482.5
64.3,484.5
292.3,485.5
144.3,494.5
304.3,496.5
282.3,501.5
794.3,502.5
448.3,504.5
566.3,504.5
436.3,509.5
305.3,510.5
533.3,510.5
446.3,521.5
536.3,522.5
265.3,524.5
425.136,524.591
81.3,525.5
470.3,525.5
420.136,529.409
277.3,532.5
574.3,532.5
609.3,540.5
406.3,544.5
729.3,546.5
522.3,556.5
374.3,557.5
364.3,564.5
385.3,566.5
376.3,573.5
304.3,581.5
737.3,581.5
674.3,590.5
