X,Y
448.2,19.2
456.2,24.2
205.5,26.3
537.5,28.3
168.5,29.3
471.318,30.318
81.318,33.318
267.833,33.25
216.682,34.318
131.5,37.3
197.5,37.3
535.5,37.3
559.5,37.3
157.5,38.3
231.833,41.25
136.5,42.3
180.5,42.3
263.864,41.409
273.864,42.409
382.045,43.136
585.5,44.3
207.682,45.318
293.864,45.409
420.2,50.2
176.5,52.3
221.7,51.5
237.864,52.409
118.5,56.3
150.5,56.3
269.864,55.409
133.5,58.3
437.318,59.318
49.318,60.318
281.864,59.409
633.7,64.5
276.864,68.409
90.318,70.318
127.5,70.3
98.318,73.318
53.3,73.5
232.7,73.5
115.5,77.5
19.3,80.5
617.7,80.5
36.3,81.5
217.7,82.5
76.3,84.5
235.7,86.5
108.5,87.5
195.5,92.5
229.7,92.5
40.3,94.5
57.3,95.5
114.5,95.5
152.5,101.5
37.3,102.5
89.3,102.5
173.5,103.5
130.5,108.5
489.5,110.5
105.5,111.5
432.3,118.5
99.5,120.5
114.5,120.5
228.7,120.5
793.3,123.5
84.5,124.5
391.3,128.5
688.864,128.409
243.7,130.5
746.0,134.5
382.136,139.591
735.0,140.5
786.136,141.591
220.7,144.5
394.136,145.591
760.0,146.5
411.3,148.5
776.136,148.591
693.682,153.682
711.682,154.682
723.833,157.75
318.833,159.75
391.136,162.591
486.5,164.7
405.115,166.885
467.5,167.7
291.682,170.682
694.833,172.75
417.115,179.885
133.5,180.7
401.115,180.885
317.885,181.885
391.115,182.885
286.885,187.885
374.115,187.885
412.115,188.885
299.885,200.885
325.885,201.885
447.25,207.833
112.409,208.864
479.409,209.864
410.115,212.885
427.115,212.885
83.409,213.864
302.885,218.885
284.885,219.885
73.409,220.864
398.0,221.0
485.409,223.864
425.115,225.885
100.409,227.864
278.885,228.885
63.409,235.864
328.0,236.0
714.885,237.885
80.409,238.864
599.5,241.0
338.0,242.0
430.0,243.0
625.75,242.833
398.0,245.0
169.409,246.864
74.409,247.864
487.409,250.864
713.0,251.0
414.0,253.0
506.409,253.864
616.654,253.962
348.0,257.0
170.409,257.864
464.3,258.0
338.0,260.0
396.0,260.0
246.885,262.885
194.5,264.0
379.0,266.0
433.136,266.045
315.0,267.0
358.0,267.0
511.409,266.864
348.0,269.0
215.654,269.962
188.5,271.0
240.885,274.115
134.409,276.864
168.5,279.0
252.885,280.115
412.0,280.0
265.0,283.0
230.885,286.115
256.885,294.115
243.885,297.115
99.3,298.0
141.5,329.3
520.5,340.3
396.045,344.136
124.5,347.3
151.5,356.3
177.5,356.3
167.5,360.3
262.864,360.409
401.0,366.3
279.864,373.409
766.0,374.3
183.5,377.5
294.864,377.409
264.864,383.409
304.864,383.409
167.5,385.5
242.7,391.5
390.136,393.409
205.7,395.5
384.136,411.409
511.5,440.5
364.0,441.5
342.0,448.5
352.0,454.5
493.5,457.7
549.5,465.7
325.833,475.75
562.5,475.7
136.5,488.7
568.5,492.7
505.409,493.864
582.5,500.7
517.409,501.864
525.409,519.864
601.682,523.682
711.885,523.885
579.409,528.864
755.0,533.0
739.0,534.0
502.409,536.864
605.75,538.833
751.0,542.0
400.0,544.0
404.0,554.0
533.409,553.864
741.0,555.0
517.409,555.864
752.0,556.0
450.136,559.045
504.409,558.864
690.0,562.0
758.0,562.0
720.0,563.0
367.0,564.0
514.409,568.864
698.0,569.0
744.0,569.0
657.885,569.885
580.5,571.0
451.136,573.045
714.0,574.0
527.409,574.864
757.0,576.0
191.5,579.0
232.885,579.115
300.0,582.0
695.0,586.0
461.136,590.045
207.591,591.136
703.0,599.0
