X,Y
350.3,14.5
261.3,26.5
597.3,28.5
237.3,33.5
322.136,36.591
774.3,36.5
585.3,37.5
310.3,44.5
261.3,45.5
400.3,52.5
541.3,64.5
312.3,72.5
594.3,74.5
161.3,77.5
181.3,77.5
302.3,98.5
318.3,98.5
789.3,102.5
220.3,112.5
614.3,114.5
269.3,116.5
168.3,118.5
297.3,118.5
185.3,125.5
506.3,128.5
253.3,140.5
276.3,140.5
698.3,142.5
189.3,144.5
673.3,144.5
669.3,165.5
554.3,168.5
181.3,169.5
288.3,174.5
246.3,180.5
653.3,180.5
517.3,181.5
728.3,181.5
221.3,186.5
309.3,186.5
261.3,188.5
754.3,188.5
300.3,197.5
700.3,204.5
401.3,210.5
241.3,217.5
658.3,220.5
546.3,226.5
618.3,237.5
213.3,245.5
368.3,245.5
337.3,246.5
321.3,250.5
684.3,252.5
572.3,253.5
161.3,260.5
216.3,261.5
573.3,269.5
625.3,274.5
201.3,276.5
409.3,277.5
290.3,281.5
604.3,286.5
346.3,293.5
577.3,297.5
193.3,300.5
670.3,305.5
262.3,312.5
132.3,313.5
565.3,322.5
114.3,328.5
180.3,328.5
281.3,330.5
586.3,332.5
326.3,334.5
241.3,341.5
294.3,350.5
280.3,354.5
125.3,357.5
105.3,360.5
202.3,376.5
456.3,378.5
684.3,394.5
674.3,414.5
429.3,417.5
545.3,428.5
568.3,438.5
368.3,445.5
233.3,448.5
277.3,449.5
333.3,453.5
401.3,456.5
268.3,468.5
660.731,469.423
370.3,470.5
546.3,478.5
400.3,486.5
192.3,493.5
229.3,496.5
410.3,501.5
397.3,502.5
234.3,506.5
296.3,509.5
181.3,512.5
670.3,514.5
221.3,517.5
501.3,517.5
328.3,520.5
470.3,520.5
400.3,522.5
485.3,522.5
460.3,524.5
304.3,532.5
269.3,533.5
350.3,534.5
666.3,536.5
474.3,541.5
450.3,552.5
410.3,553.5
342.3,557.5
245.3,562.5
500.3,565.5
318.3,586.5
