X,Y
685.3,117.5
187.3,120.5
547.3,140.5
405.3,206.5
615.3,217.5
641.5,219.5
399.3,226.5
672.5,231.5
525.3,252.5
162.3,262.5
444.3,264.5
215.3,268.5
285.5,277.5
591.167,278.611
205.3,279.5
685.3,288.5
595.3,293.5
106.3,297.5
58.3,300.5
477.3,302.5
94.3,311.5
607.3,328.5
61.3,329.5
389.3,331.5
219.3,333.5
439.3,334.5
362.3,346.5
473.3,361.5
347.3,377.5
636.3,386.5
289.3,390.5
271.167,392.389
561.5,394.5
396.3,398.5
587.136,400.591
44.3,406.5
644.3,408.5
62.3,415.5
534.3,420.5
317.3,424.5
279.3,433.5
213.0,440.0
164.3,444.5
397.3,445.5
204.3,450.5
277.1,456.1
535.3,457.5
599.227,459.682
335.3,461.5
777.3,468.5
551.3,473.5
509.3,483.5
435.3,488.5
602.3,491.5
