X,Y
508.3,20.5
466.3,22.5
416.3,29.5
480.3,30.5
77.3,36.5
458.3,36.5
156.3,38.5
549.3,38.5
404.3,40.5
272.3,41.5
354.3,46.5
486.3,52.5
145.3,56.5
541.3,57.5
550.3,60.5
244.3,62.5
513.3,64.5
166.3,65.5
573.3,66.5
665.3,66.5
29.3,68.5
684.3,68.5
341.3,69.5
433.3,69.5
646.3,74.5
718.3,74.5
424.3,80.5
178.3,81.5
534.3,81.5
750.3,81.5
724.3,84.5
457.3,85.5
574.3,85.5
318.3,86.5
654.3,86.5
393.3,94.5
285.3,96.5
438.3,100.5
661.3,104.5
157.3,105.5
592.3,106.5
428.3,108.5
682.3,108.5
181.3,109.5
344.3,110.5
516.3,114.5
410.3,118.5
125.3,122.5
468.3,122.5
534.3,125.5
108.3,126.5
284.3,128.5
214.3,129.5
196.3,130.5
230.3,130.5
496.3,130.5
685.3,130.5
582.3,132.5
516.3,134.5
709.3,138.5
458.3,140.5
617.3,140.5
357.3,141.5
160.3,142.5
445.3,145.5
605.3,149.5
277.3,150.5
622.3,150.5
737.3,160.5
577.3,161.5
306.3,165.5
156.3,169.5
101.3,170.5
78.3,172.5
396.3,172.5
658.3,172.5
590.3,174.5
576.3,177.5
204.3,198.5
298.3,205.5
418.3,209.5
581.917,209.417
781.3,214.5
313.136,216.409
565.857,218.643
360.3,229.5
338.3,230.5
373.3,232.5
525.3,232.5
733.667,233.417
480.3,236.5
64.3,238.5
393.3,240.5
349.3,241.5
328.3,242.5
628.3,250.5
653.3,268.5
61.3,274.5
678.3,274.5
25.3,280.5
226.3,282.5
478.3,288.5
302.409,290.682
646.1,306.1
36.3,306.5
352.3,334.5
158.3,362.5
585.3,380.5
218.3,386.5
453.3,390.5
85.115,409.115
213.3,414.5
565.3,422.5
225.3,424.5
86.3,426.5
550.3,426.5
582.3,428.5
214.3,433.5
133.3,458.5
154.3,465.5
641.3,466.5
436.3,468.5
622.3,469.5
212.3,490.5
332.3,512.5
332.3,526.5
389.318,542.682
388.3,558.5
