X,Y
645.3,22.5
633.3,24.5
654.3,36.5
378.3,40.5
248.3,45.5
340.3,45.5
672.3,46.5
230.3,56.5
185.3,64.5
252.3,64.5
241.3,68.5
461.3,74.5
188.3,78.5
260.3,84.5
446.3,85.5
226.3,86.5
512.3,110.5
304.3,117.5
526.3,125.5
548.3,134.5
10.3,136.5
509.3,138.5
697.3,140.5
648.3,153.5
692.3,156.5
666.3,160.5
350.3,161.5
693.3,172.5
522.3,174.5
194.3,177.5
344.3,180.5
592.3,185.5
578.3,186.5
176.3,188.5
438.3,189.5
140.3,190.5
422.3,193.5
160.3,196.5
538.3,198.5
576.3,205.5
561.3,206.5
412.3,208.5
462.3,210.5
530.3,213.5
542.3,213.5
398.3,216.5
429.3,217.5
370.3,220.5
445.3,220.5
561.3,220.5
413.3,226.5
570.3,228.5
349.3,230.5
613.3,236.5
136.3,238.5
370.3,238.5
558.3,241.5
329.3,246.5
621.3,246.5
120.3,249.5
401.3,250.5
146.3,254.5
722.3,260.5
478.3,265.5
701.3,280.5
49.3,309.5
76.3,310.5
354.3,314.5
212.3,316.5
200.3,317.5
38.3,321.5
405.3,321.5
21.3,332.5
53.3,332.5
400.3,341.5
512.3,341.5
97.3,348.5
557.3,352.5
654.3,352.5
596.3,353.5
613.3,357.5
768.3,361.5
678.3,366.5
581.3,369.5
548.3,374.5
610.3,378.5
192.3,382.5
629.3,382.5
174.3,392.5
593.3,392.5
512.3,393.5
733.3,393.5
298.3,396.5
486.3,397.5
648.3,397.5
137.3,402.5
104.3,404.5
726.3,404.5
634.3,408.5
712.3,413.5
742.3,414.5
728.3,420.5
505.3,422.5
690.3,422.5
420.3,424.5
709.3,424.5
637.3,426.5
741.3,428.5
457.3,436.5
620.3,440.5
698.3,442.5
557.3,448.5
666.3,448.5
712.3,448.5
730.3,449.5
578.3,450.5
313.3,453.5
206.3,456.5
676.3,458.5
368.3,465.5
746.3,469.5
289.3,470.5
737.3,476.5
48.3,477.5
628.3,488.5
762.3,488.5
670.3,496.5
182.3,498.5
754.3,500.5
673.3,508.5
638.3,517.5
514.3,520.5
664.3,524.5
694.3,524.5
681.3,526.5
130.3,530.5
737.3,534.5
120.3,540.5
666.3,540.5
644.3,544.5
676.3,553.5
112.3,554.5
153.3,554.5
124.3,564.5
310.3,570.5
152.3,573.5
186.3,576.5
309.3,578.5
125.3,580.5
638.3,589.5
412.3,593.5
