X,Y
171.409,1.136
731.109,37.457
278.271,44.214
176.274,55.952
297.26,61.62
199.792,75.5
373.577,82.5
123.033,84.1
214.241,101.611
699.529,118.557
758.0,122.583
530.382,126.206
549.964,136.214
534.273,139.682
201.4,145.7
549.364,148.545
53.804,158.5
281.952,163.919
227.214,165.536
251.375,165.292
368.676,185.647
38.196,186.065
480.729,191.186
380.115,199.692
330.113,207.694
344.0,208.1
525.25,209.75
53.875,216.094
386.5,215.969
371.769,217.923
348.239,219.326
761.881,220.5
299.529,224.441
49.5,225.82
331.948,225.81
397.981,229.611
201.5,230.81
388.405,231.548
279.466,244.397
497.714,246.071
385.857,249.964
366.125,254.5
341.5,256.9
279.312,264.312
340.208,266.208
374.029,268.324
212.367,271.733
346.167,280.067
275.267,295.8
339.796,297.907
110.463,299.5
163.909,301.818
314.038,302.346
670.878,305.068
319.167,306.5
458.66,308.1
320.382,314.059
160.531,315.562
334.75,326.312
455.6,325.467
95.15,338.45
484.3,351.814
369.25,368.0
534.935,375.717
671.362,376.155
486.25,384.062
320.06,384.86
216.208,386.5
200.038,396.346
431.237,402.816
216.1,410.54
283.868,413.711
542.111,420.056
66.18,421.98
197.667,424.083
448.26,429.7
662.219,430.219
80.13,434.574
338.125,433.583
629.227,437.636
104.263,447.316
189.565,447.435
650.133,454.867
461.052,455.948
306.429,457.679
312.5,464.733
57.25,478.55
123.094,483.906
355.808,486.269
471.532,486.21
43.935,493.283
373.403,511.081
27.1,511.7
106.464,522.036
17.95,524.85
479.0,525.722
310.315,528.944
354.269,557.385
385.615,557.808
224.192,557.423
105.674,563.674
233.13,584.907
