X,Y
543.5,6.3
52.0,9.0
425.5,9.3
361.591,13.136
380.591,14.136
391.591,14.136
412.591,19.136
441.5,19.3
202.0,22.0
298.885,23.115
53.0,24.0
457.5,24.3
144.0,25.0
372.591,25.136
565.3,25.0
546.3,26.0
39.0,28.0
470.591,33.136
48.0,35.0
91.0,35.0
112.0,36.0
70.0,37.0
441.591,38.136
554.3,39.0
461.5,42.0
411.591,44.136
43.0,47.0
260.0,49.0
388.591,49.136
153.0,54.0
502.409,53.864
404.5,56.0
376.591,57.136
417.5,58.0
237.0,61.0
569.3,62.0
195.0,63.0
391.5,63.0
210.0,67.0
82.0,69.0
379.5,69.0
260.0,70.0
273.0,71.0
413.5,71.0
574.409,70.864
529.409,71.864
681.3,74.0
232.0,79.0
169.0,81.0
87.0,82.0
122.0,83.0
671.3,84.0
710.136,84.045
554.409,85.864
141.0,87.0
256.0,87.0
384.5,87.0
51.0,88.0
276.885,88.885
296.885,89.885
251.0,92.0
194.0,93.0
224.0,93.0
492.409,96.864
50.0,98.0
553.409,100.864
60.0,103.0
232.885,102.885
715.136,103.045
283.885,103.885
360.75,106.833
294.885,107.885
272.885,110.885
603.409,110.864
200.885,111.885
539.409,111.864
474.409,113.864
748.0,114.0
331.75,114.833
552.409,114.864
690.3,115.0
312.75,115.833
216.885,116.885
251.885,116.885
113.0,118.0
491.409,117.864
349.75,119.833
126.0,121.0
407.5,123.7
13.0,126.0
171.0,126.0
202.885,125.885
430.409,125.864
471.409,125.864
272.885,126.885
528.409,126.864
78.0,129.0
314.75,128.833
629.409,128.864
504.409,130.864
107.0,132.0
575.409,131.864
296.885,133.885
351.75,133.833
557.409,133.864
616.409,133.864
752.0,136.0
73.0,137.0
404.5,136.7
28.0,138.0
670.409,137.864
432.5,139.7
522.409,139.864
542.409,140.864
645.409,141.864
450.409,142.864
591.409,143.864
730.115,143.885
490.409,144.864
175.885,147.885
507.409,147.864
196.885,148.885
208.885,148.885
220.885,148.885
442.5,149.7
29.0,151.0
276.885,150.885
296.885,151.885
15.0,153.0
433.5,152.7
611.409,152.864
43.0,154.0
678.409,153.864
577.409,154.864
160.885,155.885
561.409,155.864
459.5,156.7
504.409,158.864
100.0,160.0
785.0,160.0
206.885,160.885
24.0,162.0
240.885,161.885
125.0,163.0
691.409,162.864
89.0,170.0
673.409,169.864
579.409,170.864
37.0,172.0
111.0,172.0
730.25,171.833
18.0,173.0
480.5,172.7
595.409,172.864
28.0,175.0
468.5,177.7
713.409,178.864
131.885,179.885
746.115,179.885
229.885,181.885
308.682,181.682
696.409,182.864
30.0,186.0
278.682,186.682
144.885,187.885
778.115,187.885
254.885,188.885
464.5,190.7
477.5,190.7
498.5,190.7
631.409,191.864
92.0,193.0
624.409,192.864
531.5,194.7
672.409,194.864
727.25,194.833
756.115,194.885
270.682,195.682
710.409,196.864
687.409,198.864
299.682,200.682
514.5,201.7
309.682,204.682
603.409,206.864
760.115,206.885
202.885,207.885
375.682,207.682
632.409,208.864
794.115,209.885
103.0,211.0
334.682,211.682
506.5,212.7
520.5,213.7
673.409,213.864
119.885,214.885
571.5,214.7
717.25,215.833
85.0,217.0
538.5,217.7
787.115,218.885
185.885,219.885
362.682,219.682
753.25,219.833
299.682,220.682
603.409,220.864
199.885,221.885
110.885,222.885
329.682,222.682
77.0,225.0
309.682,225.682
376.682,225.682
396.5,225.7
646.409,225.864
344.682,230.682
492.5,230.7
787.115,233.885
136.885,234.885
624.5,234.7
82.0,236.0
197.833,236.75
212.833,236.75
410.5,236.7
475.5,236.7
182.833,238.75
303.682,238.682
394.5,238.7
681.409,238.864
717.25,239.833
378.682,241.682
564.5,241.7
332.682,242.682
536.5,242.7
481.5,245.7
151.833,246.75
453.5,246.7
575.5,246.7
672.5,247.7
107.833,248.75
232.682,248.682
692.5,249.7
777.25,249.833
136.833,251.75
220.682,253.682
503.5,253.7
384.682,254.682
71.083,255.75
97.833,256.75
440.5,258.7
632.5,260.7
768.318,261.682
293.682,262.682
346.682,262.682
477.5,262.7
160.833,263.75
221.682,263.682
529.5,264.7
703.318,265.682
509.5,266.7
431.5,267.7
238.682,268.682
661.5,268.7
552.5,269.7
89.962,271.654
396.5,273.7
125.833,274.75
580.5,274.7
292.682,275.682
479.5,276.7
727.3,276.5
224.682,277.682
411.5,277.7
534.5,277.7
694.3,277.5
614.5,278.7
335.682,279.682
42.136,280.591
516.5,280.7
649.5,280.7
444.5,281.7
787.3,281.5
183.682,284.682
671.5,285.5
636.5,286.5
302.682,287.682
545.5,289.7
325.7,290.5
509.5,292.5
612.5,292.5
529.5,293.5
292.7,294.5
422.5,294.5
702.3,294.5
555.5,295.5
395.5,297.5
410.5,297.5
659.5,298.5
722.3,298.5
569.5,299.5
682.3,300.5
782.3,300.5
526.5,302.5
535.5,302.5
704.3,302.5
307.7,303.5
443.5,304.5
42.136,306.591
549.5,306.5
362.7,307.5
558.5,307.5
30.136,309.591
478.5,310.5
18.3,311.5
178.7,314.5
54.136,315.591
233.7,315.5
771.3,317.5
531.5,318.5
310.7,320.5
453.5,320.5
652.5,320.5
664.5,321.5
503.5,324.5
516.5,324.5
686.3,324.5
256.7,326.5
533.5,326.5
26.3,328.5
90.0,330.5
192.7,330.5
775.3,331.5
633.5,332.5
67.0,333.5
159.864,336.409
681.3,337.5
698.3,337.5
428.5,338.5
497.5,339.5
545.5,339.5
579.5,340.5
609.5,341.5
757.3,341.5
523.5,345.5
635.5,346.5
240.7,347.5
271.7,347.5
694.3,350.5
743.3,350.5
541.5,351.5
363.7,353.5
488.5,353.5
587.5,354.5
625.5,354.5
167.864,355.409
446.5,356.5
564.5,356.5
193.864,357.409
281.7,359.5
397.5,360.5
720.3,360.5
356.7,361.5
466.5,361.5
502.5,361.5
249.7,363.5
534.5,363.5
750.3,365.5
34.3,369.5
580.5,369.5
684.3,369.5
190.864,371.409
599.5,371.5
445.5,372.5
325.7,373.5
342.7,374.5
360.7,375.5
517.5,377.5
725.3,379.5
695.3,380.5
178.864,381.409
407.5,381.5
787.3,381.5
621.5,382.5
418.5,383.5
193.864,384.409
270.7,384.5
549.5,384.5
635.5,384.5
674.3,384.5
599.5,387.5
462.5,388.5
516.5,388.5
566.5,388.5
38.136,389.409
495.5,389.5
532.5,389.5
690.3,390.5
761.3,390.5
144.864,391.409
352.7,391.5
90.864,393.409
165.864,393.409
305.7,394.5
708.3,396.5
741.3,397.5
778.3,397.5
262.7,398.5
595.5,398.5
189.864,399.409
281.7,400.5
440.5,403.5
82.864,404.409
412.5,405.5
558.5,405.5
146.864,407.409
686.3,409.5
127.864,410.409
309.7,412.5
718.3,412.5
177.864,413.409
600.5,413.5
452.5,414.5
766.3,415.5
747.3,416.5
197.864,417.409
514.5,417.5
639.3,418.5
658.3,418.5
244.864,419.409
354.7,420.5
675.3,420.5
301.7,422.5
573.5,422.5
729.3,424.5
150.864,425.409
625.3,425.5
466.5,426.5
431.5,428.5
644.3,428.5
553.5,429.5
260.864,430.409
103.864,431.409
520.5,432.5
241.864,433.409
488.5,433.5
30.0,434.3
83.0,434.3
180.864,435.409
386.7,435.5
593.5,437.5
417.5,438.5
623.3,438.5
270.864,440.409
97.864,441.409
290.864,441.409
332.7,441.5
462.5,441.5
527.5,442.5
743.3,444.5
188.864,445.409
381.7,445.5
561.5,445.5
438.5,446.5
244.864,447.409
693.3,448.5
481.5,449.5
582.5,449.5
210.864,450.409
724.3,450.5
267.864,455.409
95.0,456.3
440.5,457.5
118.864,458.409
189.864,458.409
231.864,458.409
206.864,459.409
323.7,459.5
286.864,460.409
558.5,460.5
741.3,460.5
304.864,461.409
663.3,461.5
250.864,463.409
218.864,466.409
452.5,466.5
599.5,467.3
348.7,468.5
234.864,469.409
684.3,469.5
180.864,470.409
299.864,471.409
108.0,472.3
200.864,473.409
473.5,474.5
217.864,475.409
669.318,477.318
310.864,478.409
164.864,480.409
587.5,481.3
647.318,481.318
210.864,481.409
375.7,481.5
224.864,484.409
240.864,484.409
156.864,487.409
678.318,490.318
305.864,490.409
393.5,491.5
479.5,493.3
217.864,494.409
601.5,495.3
364.7,495.5
420.5,495.5
340.7,498.5
381.5,498.5
198.864,500.409
323.7,500.5
258.864,502.409
402.5,502.5
661.318,503.318
435.5,504.3
645.318,505.318
228.864,505.409
488.5,507.3
571.5,507.3
691.318,508.318
360.7,509.5
504.5,510.3
535.5,510.3
380.5,512.3
670.318,512.318
597.5,517.3
150.0,518.3
233.864,518.409
334.682,519.318
215.864,520.409
450.5,521.3
607.5,521.3
390.5,522.3
199.864,523.409
433.5,524.3
258.864,524.409
502.5,525.3
515.5,525.3
543.5,525.3
567.5,526.3
157.0,526.3
277.833,529.25
428.5,531.3
523.5,531.3
297.833,533.25
611.5,535.3
568.5,538.3
321.833,540.25
200.864,541.409
498.5,542.3
349.682,544.318
421.5,544.3
393.5,547.3
279.833,549.25
306.833,549.25
409.5,549.3
457.5,549.3
334.682,550.318
250.833,551.25
495.5,557.3
590.5,558.3
392.5,560.3
377.5,562.3
421.5,564.3
474.5,567.3
507.5,567.3
255.885,572.115
586.5,572.3
269.885,573.115
398.5,575.3
489.5,577.3
230.0,579.0
562.5,580.3
538.5,582.3
503.5,584.3
383.5,586.3
398.5,586.3
