X,Y
392.3,126.5
714.3,198.5
508.3,213.5
366.3,224.5
191.3,249.5
114.3,252.5
408.3,258.5
302.3,263.5
420.3,272.5
249.3,275.5
388.3,280.5
610.3,282.5
108.3,285.5
155.3,288.5
408.3,288.5
248.3,291.5
95.3,306.5
79.3,313.5
203.3,319.5
346.3,330.5
377.3,353.5
494.3,354.5
223.3,362.5
111.0,364.625
428.3,369.5
780.3,373.5
701.3,384.5
429.3,386.5
468.3,400.5
291.3,409.5
111.3,411.5
173.3,412.5
146.3,414.5
212.3,416.5
296.3,416.5
352.389,416.611
581.3,416.5
440.3,418.5
483.3,418.5
327.3,422.5
120.3,429.5
254.3,430.5
663.3,433.5
397.3,460.5
568.3,460.5
567.3,469.5
653.3,508.5
111.3,509.5
448.3,516.5
94.3,562.5
76.3,570.5
562.3,586.5
