X,Y
591.167,16.611
620.3,28.5
604.3,41.5
617.3,49.5
747.3,86.5
735.3,95.5
742.3,111.5
481.3,178.5
472.3,179.5
461.3,183.5
496.3,190.5
379.3,192.5
491.3,200.5
499.3,206.5
309.3,208.5
601.3,210.5
583.3,217.5
538.3,219.5
180.3,222.5
559.167,223.389
468.3,225.5
484.3,228.5
578.3,229.5
158.3,235.5
530.3,236.5
195.3,242.5
181.3,243.5
47.3,245.5
60.3,245.5
102.3,246.5
38.3,250.5
184.3,254.5
113.3,259.5
710.3,261.5
494.3,262.5
633.3,266.5
187.3,269.5
109.3,270.5
458.3,272.5
743.3,272.5
711.3,273.5
91.3,274.5
729.3,280.5
87.3,283.5
407.3,285.5
424.3,287.5
479.0,287.5
512.389,287.389
550.3,287.5
102.3,288.5
736.3,288.5
330.3,290.5
400.3,294.5
66.3,295.5
574.3,295.5
81.3,300.5
715.3,300.5
234.3,301.5
407.3,301.5
415.3,301.5
322.3,304.5
245.3,306.5
584.3,306.5
358.3,312.5
403.3,316.5
353.5,327.5
466.3,336.5
762.3,336.5
705.3,339.5
465.5,348.5
382.3,349.5
609.5,351.5
423.3,358.5
498.3,358.5
476.3,360.5
485.3,373.5
393.3,385.5
596.3,385.5
572.3,388.5
613.3,393.5
515.3,396.5
106.3,398.5
558.3,400.5
385.3,407.5
515.3,407.5
113.5,411.5
88.3,413.5
394.3,414.5
682.3,415.5
403.3,417.5
501.3,417.5
748.3,421.5
674.3,425.5
443.3,428.5
93.3,431.5
408.3,432.5
391.3,433.5
761.3,433.5
457.3,437.5
754.3,444.5
8.3,445.5
397.3,449.5
370.3,451.5
143.3,456.5
653.3,460.5
756.3,462.5
40.3,464.5
8.3,465.5
771.3,465.5
458.3,469.5
720.3,473.5
156.3,474.5
247.3,475.5
409.3,476.5
491.3,479.5
150.3,484.5
236.3,484.5
453.3,486.5
477.3,487.5
510.3,487.5
674.3,488.5
163.3,490.5
734.3,491.5
494.3,496.5
644.3,502.5
715.3,502.5
665.3,505.5
160.3,506.5
418.3,506.5
64.3,510.5
709.3,512.5
636.3,513.5
785.5,527.5
744.3,541.5
657.3,548.5
779.3,549.5
733.3,550.5
316.3,555.5
683.3,559.5
661.3,563.5
622.3,564.5
307.3,566.5
775.3,569.5
635.3,574.5
220.3,577.5
325.3,579.5
204.3,582.5
671.3,589.5
