X,Y
153.3,22.5
485.3,36.5
521.3,38.5
643.3,39.5
593.5,40.5
164.3,48.5
245.3,49.5
596.3,57.5
197.3,58.5
158.3,61.5
476.3,61.5
325.3,65.5
521.3,69.5
742.3,73.5
690.3,78.5
767.167,79.389
179.3,83.5
616.3,85.5
265.3,95.5
326.3,98.5
712.3,100.5
238.3,106.5
531.3,107.5
748.3,107.5
790.3,111.5
320.3,117.5
766.3,119.5
712.3,120.5
339.3,123.5
375.3,131.5
251.3,134.5
231.3,137.5
168.3,138.5
675.3,149.5
738.3,152.5
506.3,159.5
563.3,159.5
647.3,167.5
662.3,181.5
442.3,182.5
767.3,188.5
94.3,189.5
403.3,194.5
620.3,196.5
107.3,204.5
88.136,205.409
605.3,212.5
97.75,214.5
689.5,218.5
584.3,219.5
657.5,219.5
622.3,221.5
481.5,223.5
109.3,225.5
397.3,227.5
237.3,228.5
93.3,245.5
741.3,246.5
221.5,253.5
77.667,258.583
547.3,258.5
436.3,261.5
59.3,267.5
390.3,267.5
215.3,281.5
212.3,293.5
336.25,303.25
396.3,306.5
269.3,308.5
527.3,309.5
126.3,319.5
357.3,319.5
605.136,324.591
315.3,332.5
575.3,338.5
277.3,341.5
512.5,344.5
593.3,347.5
548.3,349.5
440.3,351.5
138.3,354.5
411.3,355.5
481.5,357.5
281.3,375.5
353.5,378.5
234.3,385.5
190.3,388.5
126.3,389.5
498.3,391.5
377.3,396.5
741.3,397.5
520.3,401.5
400.3,405.5
464.3,406.5
492.3,407.5
171.3,424.5
689.3,429.5
647.3,442.5
320.5,444.5
457.3,447.5
422.3,448.5
476.3,461.5
631.3,464.5
343.3,465.5
700.3,465.5
127.167,488.389
727.3,490.5
571.3,497.5
546.3,498.5
113.5,507.5
34.3,511.5
382.3,513.5
763.3,514.5
745.3,517.5
778.3,523.5
494.3,542.5
605.3,546.5
723.3,547.5
56.3,548.5
788.3,554.5
678.3,557.5
772.3,561.5
55.3,567.5
34.3,568.5
783.3,573.5
759.3,580.5
87.3,582.5
