X,Y
400.3,18.5
244.3,20.5
582.3,21.5
240.3,61.5
130.3,64.5
793.3,89.5
314.136,93.591
244.3,102.5
110.3,106.5
752.3,112.5
788.3,132.5
268.3,133.5
588.3,152.5
565.3,154.5
297.3,157.5
98.3,170.5
198.3,173.5
329.3,181.5
332.3,196.5
609.3,208.5
722.3,224.5
276.3,225.5
510.3,232.5
448.3,236.5
534.3,240.5
628.3,241.5
600.3,245.5
554.3,248.5
438.3,250.5
545.3,256.5
502.3,258.5
428.3,261.5
453.3,262.5
694.3,262.5
533.3,269.5
350.136,272.591
710.3,274.5
461.3,281.5
500.3,282.5
672.3,284.5
617.3,285.5
333.3,289.5
728.3,296.5
246.3,297.5
344.3,297.5
484.3,297.5
264.083,329.25
105.3,337.5
634.3,344.5
96.3,360.5
360.3,369.5
424.3,380.5
293.3,384.5
358.3,385.5
438.3,405.5
522.3,406.5
69.3,409.5
494.3,412.5
560.3,418.5
525.3,428.5
366.3,438.5
273.3,445.5
382.3,445.5
504.3,446.5
249.3,452.5
596.3,454.5
357.3,468.5
489.3,480.5
506.3,485.5
441.3,493.5
182.3,496.5
496.3,530.5
470.3,532.5
700.3,532.5
761.3,537.5
450.3,541.5
373.3,542.5
553.3,557.5
434.3,576.5
558.3,577.5
504.3,588.5
