X,Y
363.4,24.1
355.324,61.559
260.293,68.397
674.413,81.717
461.115,90.423
419.109,103.457
553.3,103.567
553.3,122.3
94.333,231.611
79.591,238.045
155.846,243.769
523.5,260.5
542.3,267.5
523.3,274.5
587.3,280.5
572.136,281.409
418.196,287.413
583.3,297.5
328.0,299.5
640.3,300.5
601.3,311.5
520.0,314.5
481.82,321.86
584.0,325.5
687.318,325.682
245.833,333.625
680.136,336.591
212.136,357.409
483.357,357.393
283.258,367.621
569.444,370.5
151.722,377.333
85.214,380.25
560.182,381.545
153.3,385.5
402.94,386.42
60.155,391.5
453.457,403.761
370.357,410.107
553.567,416.7
523.776,419.845
221.115,425.654
237.625,425.708
394.136,451.409
239.534,462.19
61.5,466.63
386.283,468.413
266.25,479.531
400.167,482.458
400.7,489.3
124.167,498.595
411.542,511.833
507.292,512.5
760.136,521.409
302.038,534.346
375.5,538.423
122.409,556.273
110.02,560.46
557.976,587.405
611.14,589.42
92.113,592.113
