X,Y
230.045,26.136
285.2,42.2
285.318,55.318
600.5,58.3
592.318,67.318
654.5,70.5
605.5,71.5
564.3,73.5
577.3,81.5
622.5,81.5
639.5,81.5
651.5,89.5
574.3,90.5
144.7,97.5
582.3,102.5
667.5,105.5
271.3,109.5
655.5,109.5
592.5,111.5
573.3,124.5
434.7,126.5
602.5,126.5
450.7,127.5
560.3,129.5
71.5,130.5
272.3,131.5
206.864,136.409
572.3,137.5
587.5,137.5
80.5,141.5
561.3,141.5
215.864,143.409
239.0,143.5
253.136,143.591
452.7,143.5
337.5,145.5
613.5,147.5
272.3,150.5
459.682,158.682
336.5,160.7
606.5,160.7
213.833,161.75
256.136,161.591
233.962,162.654
273.115,175.885
338.5,177.7
180.682,184.682
377.5,185.7
195.833,186.75
349.5,190.7
269.115,193.885
209.885,194.885
328.409,195.864
364.5,198.7
231.0,204.0
376.5,204.7
304.409,205.864
285.115,211.885
266.0,214.0
250.0,216.0
346.409,215.864
320.409,236.864
420.75,241.833
676.654,255.962
222.0,260.0
717.0,262.0
693.0,270.0
661.5,274.0
709.0,274.0
690.885,279.115
671.591,283.136
575.3,287.0
594.3,287.0
726.0,289.0
658.591,290.136
705.885,290.115
687.885,292.115
528.0,296.0
520.0,297.0
503.0,301.0
558.136,302.045
600.389,302.167
660.5,304.3
707.885,307.115
609.5,325.3
664.5,330.3
686.682,341.318
556.2,344.2
743.864,343.409
696.864,348.409
628.5,354.3
685.7,354.5
717.864,357.409
557.3,360.5
450.864,371.409
674.7,371.5
578.3,378.5
712.864,383.409
728.864,386.409
442.864,387.409
458.864,388.409
258.0,389.3
718.864,391.409
736.864,394.409
430.7,397.5
443.7,402.5
740.864,408.409
685.7,411.5
439.7,415.5
580.3,420.5
355.5,421.5
346.5,428.5
571.3,429.5
391.5,441.5
342.5,444.5
643.5,445.5
628.5,448.5
584.5,450.5
634.5,458.7
622.5,459.7
133.5,463.7
646.5,465.7
72.5,468.7
642.5,475.7
288.25,479.833
301.25,479.833
144.682,480.682
210.885,484.885
645.5,485.7
360.5,488.7
251.115,490.885
270.115,493.885
630.5,493.7
208.885,495.885
236.0,498.0
627.5,500.7
369.5,502.7
618.409,502.864
353.409,506.864
361.409,514.864
788.0,519.0
768.0,521.0
420.75,533.833
399.5,539.7
507.0,543.0
557.136,545.045
543.0,546.0
583.409,550.864
