X,Y
695.5,98.5
72.3,102.5
721.5,106.5
95.3,125.5
88.3,169.5
128.3,182.5
112.3,186.5
87.3,188.5
157.3,192.5
144.5,208.5
347.3,209.5
126.3,214.5
182.3,220.5
201.3,220.5
30.3,257.5
116.3,259.5
277.382,273.794
316.3,283.5
176.25,287.25
69.3,297.5
234.3,297.5
420.3,301.5
133.3,302.5
191.3,305.5
275.3,306.5
532.3,325.5
398.3,332.5
236.3,335.5
172.3,345.5
411.214,350.357
225.3,354.5
391.3,358.5
425.3,364.5
245.3,367.5
786.3,369.5
86.3,375.5
299.3,377.5
62.3,382.5
786.3,382.5
219.3,403.5
230.3,416.5
284.3,426.5
24.3,435.5
302.3,467.5
261.3,474.5
473.3,478.5
62.3,479.5
459.3,483.5
212.3,522.5
210.3,531.5
206.3,549.5
226.3,550.5
288.3,554.5
315.3,554.5
155.3,565.5
