X,Y
464.3,24.5
502.3,24.5
378.3,26.5
89.3,29.5
276.3,30.5
482.3,32.5
461.3,33.5
554.3,36.5
156.3,37.5
398.3,37.5
482.3,45.5
142.3,48.5
352.3,54.5
537.3,56.5
554.3,57.5
145.3,58.5
21.3,61.5
685.3,61.5
168.3,62.5
341.3,62.5
532.3,62.5
520.3,64.5
650.3,64.5
242.3,66.5
425.3,69.5
569.3,69.5
665.3,69.5
708.3,73.5
460.3,76.5
742.3,78.5
574.3,81.5
726.3,81.5
176.3,82.5
426.3,82.5
526.3,84.5
666.3,84.5
326.3,88.5
654.3,88.5
290.3,93.5
433.3,97.5
398.3,100.5
420.3,104.5
164.3,105.5
660.3,105.5
176.3,106.5
674.3,106.5
345.3,108.5
585.3,109.5
510.3,113.5
416.3,114.5
112.3,122.5
480.3,124.5
500.3,124.5
529.3,125.5
126.3,126.5
194.3,126.5
584.3,126.5
690.3,126.5
282.3,129.5
109.3,132.5
217.3,132.5
520.3,134.5
618.3,134.5
157.3,136.5
357.3,136.5
234.3,137.5
464.3,138.5
601.3,146.5
622.3,146.5
720.3,148.5
436.3,149.5
276.3,153.5
305.3,160.5
576.3,160.5
740.3,160.5
397.3,162.5
162.3,164.5
81.3,165.5
594.3,169.5
80.3,172.5
94.3,172.5
576.3,177.5
666.3,180.5
604.3,185.5
208.3,192.5
300.3,197.5
413.3,209.5
585.3,212.5
777.3,216.5
308.3,218.5
734.3,224.5
352.3,225.5
532.3,225.5
337.3,232.5
370.3,232.5
388.3,234.5
529.3,234.5
748.3,234.5
472.3,236.5
320.3,237.5
356.3,242.5
64.3,248.5
632.3,248.5
333.3,250.5
62.3,272.5
682.3,272.5
649.3,273.5
38.3,278.5
229.3,284.5
474.3,284.5
301.3,286.5
481.3,293.5
29.3,305.5
652.3,308.5
354.3,329.5
150.3,356.5
580.3,374.5
225.3,381.5
452.3,390.5
214.3,401.5
88.3,412.5
210.3,417.5
560.3,417.5
225.3,420.5
90.3,424.5
549.3,425.5
581.3,428.5
206.3,429.5
216.3,432.5
138.3,458.5
157.3,461.5
629.3,465.5
436.3,469.5
616.3,470.5
216.3,492.5
334.3,506.5
340.3,522.5
386.3,541.5
393.3,561.5
