X,Y
199.633,9.567
284.167,14.458
161.5,16.654
96.1,17.9
252.143,19.786
151.3,26.5
227.188,30.438
151.433,39.633
77.5,41.674
121.346,42.423
90.1,44.1
429.794,55.794
143.0,61.786
96.184,68.395
157.938,76.125
192.1,88.1
277.357,91.429
152.0,94.214
119.643,96.571
183.962,98.346
131.5,98.654
295.286,100.286
103.45,102.4
283.312,104.312
608.231,105.846
297.794,108.206
184.0,113.5
211.5,116.5
247.375,116.562
542.083,123.625
234.269,124.269
207.0,141.786
193.618,151.794
232.167,153.767
186.033,160.633
220.0,161.786
212.0,173.722
260.222,186.389
204.0,192.5
191.0,201.786
209.5,206.333
164.033,208.367
122.981,215.944
220.136,215.409
461.167,218.458
195.667,219.417
162.1,226.1
229.654,225.577
547.208,226.5
219.333,227.417
119.231,232.154
710.067,236.0
176.136,235.409
188.167,236.417
251.312,241.688
531.093,242.426
175.136,251.409
202.038,254.346
273.75,259.875
164.033,264.367
522.152,270.239
242.25,275.875
201.136,281.409
447.846,289.692
255.088,290.382
185.944,303.611
230.167,308.233
423.333,314.458
285.958,340.375
458.292,363.625
413.38,377.42
43.056,382.222
104.0,383.5
475.269,390.385
76.167,396.417
417.923,400.308
42.136,400.591
103.5,402.556
209.864,404.591
61.333,405.417
450.214,408.25
703.567,411.667
73.5,416.654
99.5,419.75
383.462,423.731
667.318,423.955
206.95,437.55
170.0,441.5
510.071,444.595
93.444,452.5
197.625,453.438
709.269,463.577
170.02,465.78
186.088,486.618
115.395,498.5
193.5,497.75
103.447,499.711
183.929,502.405
229.5,503.618
339.109,506.543
66.31,514.452
82.4,516.55
216.85,521.55
186.115,527.577
195.5,539.426
301.0,540.65
48.382,542.206
92.1,543.4
118.2,553.55
31.0,557.5
733.591,585.591
