X,Y
376.3,19.5
42.3,31.5
70.3,37.5
54.3,39.5
114.3,40.5
90.3,87.5
227.3,105.5
554.3,115.5
740.3,125.5
163.3,128.5
575.167,134.611
504.3,144.5
580.3,157.5
611.3,157.5
287.167,164.611
444.3,168.5
127.167,176.611
225.5,183.5
244.3,185.5
141.3,193.5
199.3,211.5
106.3,231.5
335.3,246.5
50.3,251.5
69.3,264.5
550.3,270.5
663.25,275.833
731.3,278.5
537.3,306.5
54.3,311.5
237.3,320.5
306.3,323.5
750.3,342.5
173.3,344.5
188.3,360.5
247.3,371.5
190.3,383.5
690.3,388.5
349.3,390.5
705.3,392.5
269.3,393.5
514.3,398.5
120.3,409.5
512.3,414.5
658.3,417.5
725.3,424.5
301.3,429.5
270.3,444.5
386.3,446.5
623.3,449.5
183.3,457.5
227.3,459.5
92.3,468.5
290.3,470.5
210.3,481.5
368.3,494.5
418.3,495.5
223.3,497.5
210.3,504.5
273.5,532.5
203.3,543.5
422.3,547.5
245.3,559.5
