X,Y
582.3,45.0
597.3,53.0
548.409,103.864
227.885,165.885
234.885,180.885
262.682,211.682
259.682,220.682
414.5,229.7
25.115,232.885
439.5,237.7
36.115,249.885
331.682,262.682
32.136,276.591
43.136,288.591
202.864,420.409
205.864,441.409
368.7,441.5
236.864,443.409
349.7,446.5
216.864,449.409
248.864,449.409
228.864,451.409
141.864,455.409
275.864,455.409
244.864,458.409
21.0,459.3
217.864,460.409
234.864,460.409
260.864,460.409
382.7,465.5
25.0,468.3
105.864,468.409
177.864,468.409
264.864,472.409
188.864,473.409
206.864,477.409
449.5,477.5
51.0,478.3
96.0,479.3
162.864,479.409
413.5,479.5
32.0,480.3
257.864,481.409
186.864,484.409
44.0,485.3
143.864,487.409
244.864,488.409
196.864,491.409
54.0,492.3
130.864,492.409
212.864,493.409
227.864,493.409
256.864,496.409
116.0,497.3
655.318,500.318
209.864,501.409
146.864,502.409
164.864,503.409
461.5,504.3
254.864,504.409
718.318,505.318
50.0,506.3
246.864,509.409
354.682,511.318
214.864,512.409
132.0,514.3
659.318,516.318
264.864,518.409
192.864,522.409
166.864,523.409
209.864,526.409
130.045,528.136
288.833,531.25
224.833,532.25
143.045,536.136
160.045,539.136
283.833,545.25
200.885,546.115
140.0,547.0
242.885,550.115
