X,Y
196.3,74.5
370.3,91.5
312.3,123.5
350.3,126.5
374.3,131.5
290.3,153.5
287.3,169.5
327.3,169.5
337.5,183.5
22.3,229.5
44.3,267.5
78.3,321.5
24.3,402.5
32.3,410.5
193.3,416.5
778.3,428.5
255.167,431.389
563.3,432.5
776.3,435.5
566.3,448.5
205.3,455.5
374.3,458.5
190.3,463.5
539.3,469.5
730.3,471.5
494.3,480.5
625.5,485.5
509.3,487.5
544.25,495.25
39.3,496.5
276.3,499.5
72.3,506.5
337.5,507.5
164.3,509.5
581.3,510.5
140.3,515.5
418.3,516.5
591.5,516.5
31.3,517.5
369.3,519.5
355.3,526.5
579.3,526.5
245.3,527.5
449.5,543.5
351.3,558.5
574.3,564.5
556.3,567.5
115.3,570.5
223.3,578.5
311.3,578.5
164.3,588.5
199.3,589.5
