X,Y
493.409,144.864
498.409,158.864
41.0,175.0
57.0,183.0
413.5,192.7
54.0,195.0
65.0,195.0
154.833,234.75
257.682,267.682
649.5,281.7
511.5,308.5
600.5,321.5
714.3,328.5
734.3,328.5
167.864,334.409
164.864,344.409
722.3,345.5
178.864,351.409
613.5,353.5
65.0,357.5
64.864,371.409
208.864,376.409
408.5,378.5
87.864,385.409
129.864,399.409
426.5,400.5
461.5,407.5
734.3,407.5
77.0,419.3
629.5,420.5
439.5,421.5
601.5,421.5
58.0,424.3
399.5,426.5
61.0,428.3
43.0,429.3
537.5,432.5
333.7,440.5
71.0,473.3
472.5,483.5
357.682,522.318
138.045,538.136
23.045,560.136
122.045,561.136
140.0,572.0
134.0,575.0
195.0,594.0
