SN,filename,number_of_cells
1,220909_GFP-AHPC_D_TuJ1_F5_DAPI_ND1_20x.csv,125
2,220909_GFP-AHPC_C_Nestin_F6_DAPI_ND1_20x.csv,16
3,220909_GFP-AHPC_D_Nestin_F2_DAPI_ND1_20x.csv,135
4,220909_GFP-AHPC_A_Ki67_F3_DAPI_ND1_20x.csv,355
5,220912_GFP-AHPC_B_TuJ1_F5_DAPI_ND1_20x.csv,37
6,220912_GFP-AHPC_A_TuJ1_F8_DAPI_ND1_20x.csv,55
7,220909_GFP-AHPC_B_GFAP_F6_DAPI_ND1_20x.csv,118
8,220909_GFP-AHPC_D_Nestin_F9_DAPI_ND1_20x.csv,168
9,220912_GFP-AHPC_C_TuJ1_F10_DAPI_ND1_20x.csv,19
10,220909_GFP-AHPC_C_GFAP_F3_DAPI_ND1_20x.csv,118
11,220909_GFP-AHPC_D_MAP2ab_F7_DAPI_ND1_20x.csv,177
12,220909_GFP-AHPC_B_Ki67_F5_DAPI_ND1_20x.csv,26
13,220912_GFP-AHPC_A_TuJ1_F3_DAPI_ND1_20x.csv,581
14,220909_GFP-AHPC_D_Ki67_F6_DAPI_ND1_20x.csv,227
15,220912_GFP-AHPC_B_Map2AB_F10_DAPI_ND1_20x.csv,127
16,220912_GFP-AHPC_A_Map2AB_F1_DAPI_ND1_20x.csv,71
17,220909_GFP-AHPC_A_GFAP_F4_DAPI_ND1_20x.csv,353
18,220912_GFP-AHPC_A_TuJ1_F7_DAPI_ND1_20x.csv,55
19,220909_GFP-AHPC_D_Ki67_F2_DAPI_ND1_20x.csv,231
20,220912_GFP-AHPC_B_Nestin_F9_DAPI_ND1_20x.csv,10
21,220909_GFP-AHPC_C_GFAP_F7_DAPI_ND1_20x.csv,95
22,220912_GFP-AHPC_C_TuJ1_F4_DAPI_ND1_20x.csv,24
23,220912_GFP-AHPC_C_Map2AB_F9_DAPI_ND1_20x.csv,52
24,220912_GFP-AHPC_C_TuJ1_F1.2_DAPI_ND1_20x.csv,17
25,220909_GFP-AHPC_D_Ki67_F9_DAPI_ND1_20x.csv,105
26,220912_GFP-AHPC_B_TuJ1_F1_DAPI_ND1_20x.csv,40
27,220909_GFP-AHPC_A_Ki67_F7_DAPI_ND1_20x.csv,225
28,220909_GFP-AHPC_C_Nestin_F2_DAPI_ND1_20x.csv,93
29,220912_GFP-AHPC_B_Nestin_F2_DAPI_ND1_20x.csv,64
30,220909_GFP-AHPC_D_TuJ1_F1_DAPI_ND1_20x.csv,131
31,220912_GFP-AHPC_C_Map2AB_F2_DAPI_ND1_20x.csv,17
32,220909_GFP-AHPC_D_Nestin_F6_DAPI_ND1_20x.csv,139
33,220912_GFP-AHPC_A_TuJ1_F9_DAPI_ND1_20x.csv,70
34,220912_GFP-AHPC_B_TuJ1_F4_DAPI_ND1_20x.csv,84
35,220909_GFP-AHPC_B_GFAP_F10_DAPI_ND1_20x.csv,62
36,220909_GFP-AHPC_A_Ki67_F2_DAPI_ND1_20x.csv,230
37,220912_GFP-AHPC_B_Map2AB_F9_DAPI_ND1_20x.csv,148
38,220909_GFP-AHPC_D_TuJ1_F4_DAPI_ND1_20x.csv,365
39,220912_GFP-AHPC_C_Map2AB_F10_DAPI_ND1_20x.csv,21
40,220912_GFP-AHPC_C_Map2AB_F7_DAPI_ND1_20x.csv,12
41,220909_GFP-AHPC_C_GFAP_F9_DAPI_ND1_20x.csv,65
42,DAPI_summary_cell_count.csv,119
43,220912_GFP-AHPC_A_Map2AB_F4_DAPI_ND1_20x.csv,298
44,220909_GFP-AHPC_A_Ki67_F9_DAPI_ND1_20x.csv,212
45,220909_GFP-AHPC_D_Nestin_F8_DAPI_ND1_20x.csv,171
46,220912_GFP-AHPC_B_Map2AB_F2_DAPI_ND1_20x.csv,107
47,220909_GFP-AHPC_C_GFAP_F6_DAPI_ND1_20x.csv,57
48,220912_GFP-AHPC_C_Map2AB_F8_DAPI_ND1_20x.csv,23
49,220912_GFP-AHPC_B_Nestin_F8_DAPI_ND1_20x.csv,9
50,220909_GFP-AHPC_C_Nestin_F8_DAPI_ND1_20x.csv,15
51,220909_GFP-AHPC_D_MAP2ab_F2_DAPI_ND1_20x.csv,345
52,220912_GFP-AHPC_B_Map2AB_F6_DAPI_ND1_20x.csv,146
53,220912_GFP-AHPC_A_Nestin_F10_DAPI_ND1_20x.csv,275
54,220912_GFP-AHPC_A_TuJ1_F6_DAPI_ND1_20x.csv,72
55,220909_GFP-AHPC_B_GFAP_F8_DAPI_ND1_20x.csv,91
56,220909_GFP-AHPC_D_Nestin_F7_DAPI_ND1_20x.csv,118
57,220909_GFP-AHPC_D_Ki67_F10_DAPI_ND1_20x.csv,180
58,220909_GFP-AHPC_C_Nestin_F3_DAPI_ND1_20x.csv,136
59,220912_GFP-AHPC_B_Nestin_F3_DAPI_ND1_20x.csv,27
60,220909_GFP-AHPC_D_MAP2ab_F9_DAPI_ND1_20x.csv,224
61,220909_GFP-AHPC_C_Ki67_F5_DAPI_ND1_20x.csv,29
62,220909_GFP-AHPC_B_GFAP_F3_DAPI_ND1_20x.csv,144
63,220909_GFP-AHPC_D_Ki67_F8_DAPI_ND1_20x.csv,152
64,220912_GFP-AHPC_A_Nestin_F9_DAPI_ND1_20x.csv,151
65,220909_GFP-AHPC_D_Ki67_F4_DAPI_ND1_20x.csv,194
66,220909_GFP-AHPC_D_MAP2ab_F5_DAPI_ND1_20x.csv,227
67,220909_GFP-AHPC_C_Ki67_F9_DAPI_ND1_20x.csv,83
68,220912_GFP-AHPC_B_Map2AB_F1_DAPI_ND1_20x.csv,142
69,220909_GFP-AHPC_A_Ki67_F1_DAPI_ND1_20x.csv,312
70,220909_GFP-AHPC_A_GFAP_F9_DAPI_ND1_20x.csv,288
71,220909_GFP-AHPC_B_GFAP_F4_DAPI_ND1_20x.csv,127
72,220912_GFP-AHPC_A_Nestin_F2_DAPI_ND1_20x.csv,347
73,220909_GFP-AHPC_D_GFAP_F7_DAPI_ND1_20x.csv,175
74,220912_GFP-AHPC_B_Nestin_F10_DAPI_ND1_20x.csv,28
75,220912_GFP-AHPC_C_TuJ1_F9_DAPI_ND1_20x.csv,28
76,220909_GFP-AHPC_C_Ki67_F2_DAPI_ND1_20x.csv,47
77,220909_GFP-AHPC_D_Nestin_F4_DAPI_ND1_20x.csv,182
78,220909_GFP-AHPC_D_TuJ1_F3_DAPI_ND1_20x.csv,148
79,220912_GFP-AHPC_A_Map2AB_F8_DAPI_ND1_20x.csv,105
80,220909_GFP-AHPC_B_Ki67_F8_DAPI_ND1_20x.csv,41
