SN,filename,number_of_cells
1,MAP2ab_summary_cell_count.csv,24
2,220912_GFP-AHPC_A_Map2AB_F4_Cy3_ND2_20x.csv,103
3,220912_GFP-AHPC_C_Map2AB_F2_Cy3_ND2_20x.csv,5
4,220912_GFP-AHPC_C_Map2AB_F5_Cy3_ND2_20x.csv,4
5,220909_GFP-AHPC_D_MAP2ab_F4_Cy3_ND2_20x.csv,127
6,220912_GFP-AHPC_B_Map2AB_F1_Cy3_ND2_20x.csv,52
7,220909_GFP-AHPC_D_MAP2ab_F5_Cy3_ND2_20x.csv,94
8,220912_GFP-AHPC_A_Map2AB_F2_Cy3_ND2_20x.csv,55
9,220912_GFP-AHPC_B_Map2AB_F9_Cy3_ND2_20x.csv,66
10,220909_GFP-AHPC_D_MAP2ab_F2_Cy3_ND2_20x.csv,73
11,220912_GFP-AHPC_B_Map2AB_F6_Cy3_ND2_20x.csv,57
12,220909_GFP-AHPC_D_MAP2ab_F7_Cy3_ND2_20x.csv,57
13,220912_GFP-AHPC_C_Map2AB_F9_Cy3_ND2_20x.csv,23
14,220912_GFP-AHPC_B_Map2AB_F10_Cy3_ND2_20x.csv,52
15,220912_GFP-AHPC_B_Map2AB_F4_Cy3_ND2_20x.csv,18
16,220912_GFP-AHPC_A_Map2AB_F8_Cy3_ND2_20x.csv,46
17,220912_GFP-AHPC_C_Map2AB_F10_Cy3_ND2_20x.csv,9
18,220912_GFP-AHPC_A_Map2AB_F6_Cy3_ND2_20x.csv,69
19,220909_GFP-AHPC_D_MAP2ab_F1_Cy3_ND2_20x.csv,112
20,220912_GFP-AHPC_A_Map2AB_F9_Cy3_ND2_20x.csv,51
21,220912_GFP-AHPC_C_Map2AB_F7_Cy3_ND2_20x.csv,4
22,220912_GFP-AHPC_B_Map2AB_F2_Cy3_ND2_20x.csv,32
23,220912_GFP-AHPC_A_Map2AB_F1_Cy3_ND2_20x.csv,29
24,220912_GFP-AHPC_C_Map2AB_F8_Cy3_ND2_20x.csv,5
25,220909_GFP-AHPC_D_MAP2ab_F9_Cy3_ND2_20x.csv,50
