SN,filename,number_of_cells
1,220912_GFP-AHPC_C_RIP_F6_Cy3_ND2_20x.csv,0
2,220912_GFP-AHPC_B_RIP_F8_Cy3_ND2_20x.csv,10
3,220912_GFP-AHPC_C_RIP_F1_Cy3_ND2_20x.csv,5
4,220912_GFP-AHPC_A_RIP_F7_Cy3_ND2_20x.csv,102
5,220909_GFP-AHPC_D_RIP_F3_Cy3_ND2_20x.csv,94
6,220912_GFP-AHPC_A_RIP_F6_Cy3_ND2_20x.csv,117
7,220912_GFP-AHPC_A_RIP_F1_Cy3_ND2_20x.csv,111
8,220909_GFP-AHPC_D_RIP_F4_Cy3_ND2_20x.csv,58
9,RIP_summary_cell_count.csv,24
10,220912_GFP-AHPC_B_RIP_F6_Cy3_ND2_20x.csv,12
11,220912_GFP-AHPC_C_RIP_F7_Cy3_ND2_20x.csv,10
12,220912_GFP-AHPC_B_RIP_F9_Cy3_ND2_20x.csv,14
13,220912_GFP-AHPC_C_RIP_F2_Cy3_ND2_20x.csv,7
14,220909_GFP-AHPC_D_RIP_F1_Cy3_ND2_20x.csv,60
15,220912_GFP-AHPC_A_RIP_F4_Cy3_ND2_20x.csv,129
16,220912_GFP-AHPC_B_RIP_F3_Cy3_ND2_20x.csv,6
17,220912_GFP-AHPC_B_RIP_F4_Cy3_ND2_20x.csv,9
18,220909_GFP-AHPC_D_RIP_F6_Cy3_ND2_20x.csv,89
19,220912_GFP-AHPC_C_RIP_F5_Cy3_ND2_20x.csv,3
20,220912_GFP-AHPC_B_RIP_F5_Cy3_ND2_20x.csv,15
21,220912_GFP-AHPC_A_RIP_F2_Cy3_ND2_20x.csv,84
22,220909_GFP-AHPC_D_RIP_F7_Cy3_ND2_20x.csv,71
23,220909_GFP-AHPC_D_RIP_F8_Cy3_ND2_20x.csv,61
24,220912_GFP-AHPC_A_RIP_F10_Cy3_ND2_20x.csv,115
25,220912_GFP-AHPC_C_RIP_F4_Cy3_ND2_20x.csv,7
