SN,filename,number_of_cells
1,220909_GFP-AHPC_D_TuJ1_F8_Cy3_ND2_20x.csv,33
2,220912_GFP-AHPC_A_TuJ1_F7_Cy3_ND2_20x.csv,7
3,220912_GFP-AHPC_B_TuJ1_F9_Cy3_ND2_20x.csv,6
4,220912_GFP-AHPC_C_TuJ1_F3_Cy3_ND1_20x.csv,3
5,220912_GFP-AHPC_B_TuJ1_F10_Cy3_ND2_20x.csv,7
6,220912_GFP-AHPC_A_TuJ1_F8_Cy3_ND2_20x.csv,18
7,220912_GFP-AHPC_C_TuJ1_F10_Cy3_ND1_20x.csv,4
8,220912_GFP-AHPC_B_TuJ1_F1_Cy3_ND2_20x.csv,6
9,220912_GFP-AHPC_C_TuJ1_F4_Cy3_ND1_20x.csv,5
10,220909_GFP-AHPC_D_TuJ1_F1_Cy3_ND2_20x.csv,30
11,220912_GFP-AHPC_C_TuJ1_F1.1_Cy3_ND1_20x.csv,4
12,220912_GFP-AHPC_A_TuJ1_F6_Cy3_ND2_20x.csv,18
13,220912_GFP-AHPC_B_TuJ1_F8_Cy3_ND2_20x.csv,3
14,220912_GFP-AHPC_A_TuJ1_F9_Cy3_ND2_20x.csv,14
15,220909_GFP-AHPC_D_TuJ1_F6_Cy3_ND2_20x.csv,54
16,220912_GFP-AHPC_C_TuJ1_F8_Cy3_ND1_20x.csv,6
17,220909_GFP-AHPC_D_TuJ1_F3_Cy3_ND2_20x.csv,26
18,220912_GFP-AHPC_A_TuJ1_F3_Cy3_ND2_20x.csv,63
19,220909_GFP-AHPC_D_TuJ1_F4_Cy3_ND2_20x.csv,63
20,220912_GFP-AHPC_B_TuJ1_F5_Cy3_ND2_20x.csv,6
21,220912_GFP-AHPC_A_TuJ1_F5_Cy3_ND2_20x.csv,25
22,220909_GFP-AHPC_D_TuJ1_F5_Cy3_ND2_20x.csv,13
23,220912_GFP-AHPC_B_TuJ1_F4_Cy3_ND2_20x.csv,14
24,TuJ1_summary_cell_count.csv,25
25,220912_GFP-AHPC_C_TuJ1_F9_Cy3_ND1_20x.csv,5
26,220912_GFP-AHPC_C_TuJ1_F1.2_Cy3_ND1_20x.csv,4
