SN,image name,ground truth
1,18700-23800_GTEX-ZV7C_Adipose-Subcutaneous.png,132
2,34000-5100_GTEX-144GL_Adipose-Subcutaneous.png,157
3,27200-15300_GTEX-1122O_Adipose-Subcutaneous.png,125
4,11900-28900_GTEX-ZVT3_Adipose-Subcutaneous.png,140
5,3400-6800_GTEX-S4UY_Adipose-Subcutaneous.png,127
6,22100-15300_GTEX-147F4_Adipose-Subcutaneous.png,151
7,23800-18700_GTEX-14JG6_Adipose-Subcutaneous.png,176
8,5100-3400_GTEX-15ER7_Adipose-Subcutaneous.png,194
9,13600-8500_GTEX-13O1R_Adipose-Subcutaneous.png,128
10,6800-17000_GTEX-XQ3S_Adipose-Subcutaneous.png,157
11,11900-17000_GTEX-Y5V5_Adipose-Subcutaneous.png,190
12,15300-10200_GTEX-Q2AG_Adipose-Subcutaneous.png,95
13,8500-28900_GTEX-11EI6_Adipose-Subcutaneous.png,88
14,10200-27200_GTEX-NL3H_Adipose-Subcutaneous.png,133
15,22100-5100_GTEX-XUZC_Adipose-Subcutaneous.png,160
16,20400-15300_GTEX-15RJE_Adipose-Subcutaneous.png,145
17,10200-23800_GTEX-18A6Q_Adipose-Subcutaneous.png,176
18,34000-10200_GTEX-UJMC_Adipose-Subcutaneous.png,267
19,13600-6800_GTEX-XMD1_Adipose-Subcutaneous.png,196
20,8500-3400_GTEX-XQ3S_Adipose-Subcutaneous.png,154
21,22100-15300_GTEX-Q2AG_Adipose-Subcutaneous.png,156
22,15300-13600_GTEX-15DCZ_Adipose-Subcutaneous.png,157
23,5100-8500_GTEX-14A6H_Adipose-Subcutaneous.png,224
24,17000-18700_GTEX-12WSB_Adipose-Subcutaneous.png,135
25,27200-17000_GTEX-XMD1_Adipose-Subcutaneous.png,221
26,15300-30600_GTEX-WXYG_Adipose-Subcutaneous.png,113
27,13600-25500_GTEX-12WSF_Adipose-Subcutaneous.png,177
28,15300-32300_GTEX-ZPU1_Adipose-Subcutaneous.png,111
29,28900-25500_GTEX-ZVP2_Adipose-Subcutaneous.png,160
30,34000-17000_GTEX-ZPIC_Adipose-Subcutaneous.png,164
31,13600-17000_GTEX-R55E_Adipose-Subcutaneous.png,210
32,28900-27200_GTEX-16AAH_Adipose-Subcutaneous.png,151
33,15300-13600_GTEX-14ABY_Adipose-Subcutaneous.png,109
34,1700-8500_GTEX-16MT8_Adipose-Subcutaneous.png,92
35,34000-18700_GTEX-ZVP2_Adipose-Subcutaneous.png,152
36,6800-27200_GTEX-ZYFC_Adipose-Subcutaneous.png,103
37,30600-10200_GTEX-1E1VI_Adipose-Subcutaneous.png,172
38,10200-15300_GTEX-15RJE_Adipose-Subcutaneous.png,150
39,5100-6800_GTEX-WOFL_Adipose-Subcutaneous.png,237
40,17000-10200_GTEX-S95S_Adipose-Subcutaneous.png,138
41,23800-32300_GTEX-ZT9W_Adipose-Subcutaneous.png,175
42,8500-11900_GTEX-QLQ7_Adipose-Subcutaneous.png,141
43,15300-25500_GTEX-ZVE1_Adipose-Subcutaneous.png,156
44,34000-13600_GTEX-131XF_Adipose-Subcutaneous.png,149
45,11900-13600_GTEX-ZF3C_Adipose-Subcutaneous.png,163
46,35700-6800_GTEX-1F7RK_Adipose-Subcutaneous.png,180
47,10200-10200_GTEX-14E7W_Adipose-Subcutaneous.png,162
48,11900-3400_GTEX-1497J_Adipose-Subcutaneous.png,141
49,11900-5100_GTEX-1269C_Adipose-Subcutaneous.png,168
50,32300-15300_GTEX-15DZA_Adipose-Subcutaneous.png,218
51,8500-25500_GTEX-YF7O_Adipose-Subcutaneous.png,145
52,10200-15300_GTEX-17EVP_Adipose-Subcutaneous.png,163
53,11900-13600_GTEX-XUW1_Adipose-Subcutaneous.png,122
54,32300-10200_GTEX-1F88E_Adipose-Subcutaneous.png,241
55,11900-15300_GTEX-11P82_Adipose-Subcutaneous.png,299
56,28900-25500_GTEX-11ZUS_Adipose-Subcutaneous.png,136
57,27200-5100_GTEX-ZPIC_Adipose-Subcutaneous.png,183
58,11900-15300_GTEX-16XZZ_Adipose-Subcutaneous.png,184
59,22100-18700_GTEX-14JG6_Adipose-Subcutaneous.png,156
60,8500-10200_GTEX-14PJ2_Adipose-Subcutaneous.png,156
61,6800-17000_GTEX-14PJ3_Adipose-Subcutaneous.png,133
62,35700-6800_GTEX-14PJ4_Adipose-Subcutaneous.png,158
63,8500-11900_GTEX-1A32A_Adipose-Subcutaneous.png,135
64,17000-15300_GTEX-13SLX_Adipose-Subcutaneous.png,203
65,28900-17000_GTEX-WI4N_Adipose-Subcutaneous.png,137
66,11900-22100_GTEX-1FIGZ_Adipose-Subcutaneous.png,203
