SN,image name,ground truth
1,001cell.png,133
2,019cell.png,189
3,011cell.png,113
4,010cell.png,109
5,004cell.png,79
6,002cell.png,217
7,003cell.png,81
8,006cell.png,135
9,005cell.png,95
10,007cell.png,166
11,008cell.png,119
12,009cell.png,163
13,020cell.png,179
14,052cell.png,156
15,050cell.png,196
16,036cell.png,225
17,042cell.png,267
18,041cell.png,209
19,033cell.png,133
20,034cell.png,133
21,021cell.png,151
22,014cell.png,139
23,015cell.png,148
24,013cell.png,76
25,012cell.png,280
26,040cell.png,162
27,039cell.png,217
28,038cell.png,186
29,037cell.png,196
30,035cell.png,138
31,016cell.png,195
32,031cell.png,179
33,017cell.png,213
34,028cell.png,108
35,025cell.png,283
36,026cell.png,111
37,027cell.png,187
38,024cell.png,234
39,023cell.png,156
40,029cell.png,245
41,018cell.png,187
42,032cell.png,184
43,030cell.png,95
44,022cell.png,189
45,073cell.png,170
46,065cell.png,230
47,058cell.png,240
48,061cell.png,88
49,057cell.png,202
50,063cell.png,194
51,059cell.png,98
52,062cell.png,151
53,060cell.png,226
54,055cell.png,173
55,046cell.png,128
56,048cell.png,86
57,043cell.png,125
58,045cell.png,203
59,049cell.png,149
60,047cell.png,113
61,044cell.png,198
62,051cell.png,178
63,053cell.png,120
64,054cell.png,186
65,064cell.png,201
66,067cell.png,234
67,068cell.png,109
68,066cell.png,168
69,072cell.png,223
70,071cell.png,185
71,070cell.png,207
72,069cell.png,150
73,091cell.png,93
74,074cell.png,293
75,081cell.png,102
76,075cell.png,234
77,076cell.png,201
78,079cell.png,171
79,077cell.png,260
80,078cell.png,239
81,080cell.png,238
82,083cell.png,248
83,082cell.png,184
84,096cell.png,78
85,095cell.png,275
86,056cell.png,81
87,094cell.png,116
88,093cell.png,221
89,163cell.png,166
90,134cell.png,188
91,132cell.png,168
92,146cell.png,97
93,137cell.png,200
94,158cell.png,117
95,160cell.png,167
96,138cell.png,74
97,147cell.png,96
98,135cell.png,225
99,149cell.png,141
100,120cell.png,90
101,148cell.png,136
102,150cell.png,284
103,130cell.png,130
104,131cell.png,157
105,127cell.png,88
106,126cell.png,138
107,125cell.png,116
108,128cell.png,153
109,129cell.png,184
110,133cell.png,89
111,142cell.png,111
112,144cell.png,242
113,140cell.png,121
114,145cell.png,206
115,141cell.png,250
116,139cell.png,287
117,143cell.png,174
118,136cell.png,176
119,151cell.png,113
120,162cell.png,268
121,161cell.png,205
122,124cell.png,256
123,098cell.png,197
124,099cell.png,105
125,102cell.png,244
126,101cell.png,99
127,103cell.png,237
128,105cell.png,137
129,100cell.png,198
130,104cell.png,98
131,110cell.png,134
132,118cell.png,230
133,117cell.png,207
134,112cell.png,209
135,113cell.png,123
136,116cell.png,180
137,115cell.png,232
138,114cell.png,123
139,108cell.png,284
140,123cell.png,191
141,121cell.png,224
142,122cell.png,107
143,107cell.png,153
144,109cell.png,130
145,087cell.png,165
146,086cell.png,176
147,090cell.png,141
148,089cell.png,162
149,088cell.png,157
150,084cell.png,100
151,085cell.png,254
152,092cell.png,208
153,111cell.png,188
154,097cell.png,189
155,106cell.png,114
156,119cell.png,205
157,177cell.png,134
158,187cell.png,93
159,171cell.png,125
160,173cell.png,212
161,174cell.png,113
162,188cell.png,127
163,178cell.png,152
164,176cell.png,97
165,189cell.png,98
166,190cell.png,259
167,172cell.png,128
168,165cell.png,192
169,170cell.png,153
170,167cell.png,106
171,168cell.png,94
172,169cell.png,156
173,166cell.png,141
174,175cell.png,99
175,159cell.png,129
176,155cell.png,74
177,152cell.png,187
178,154cell.png,199
179,156cell.png,296
180,153cell.png,239
181,157cell.png,93
182,186cell.png,209
183,181cell.png,84
184,182cell.png,276
185,179cell.png,196
186,183cell.png,235
187,185cell.png,233
188,184cell.png,210
189,180cell.png,81
190,164cell.png,213
191,191cell.png,148
192,199cell.png,146
193,200cell.png,120
194,194cell.png,152
195,192cell.png,123
196,193cell.png,193
197,196cell.png,84
198,198cell.png,78
199,195cell.png,192
200,197cell.png,211
