X,Y
50.3,2.5
62.136,12.591
365.3,12.5
369.5,20.5
78.25,21.833
96.3,23.5
60.0,30.214
119.3,30.5
32.3,36.5
96.3,36.5
132.3,37.5
60.038,46.346
39.5,48.389
114.3,47.5
51.3,57.5
140.038,57.654
157.3,57.5
38.3,59.5
181.3,60.5
112.038,66.654
165.3,67.5
153.3,72.5
36.038,80.346
90.3,81.5
133.3,81.5
18.3,90.5
121.3,92.5
28.3,98.5
6.3,101.5
108.3,105.5
90.3,110.5
66.367,111.967
426.3,115.5
78.3,121.5
404.3,122.5
109.3,125.5
174.3,125.5
34.3,126.5
46.3,126.5
57.3,126.5
416.3,126.5
94.083,128.417
122.3,129.5
396.3,129.5
433.3,133.5
525.3,134.5
177.3,139.5
123.3,140.5
135.3,140.5
80.3,141.5
94.3,141.5
152.3,141.5
167.3,141.5
397.3,142.5
416.3,143.5
206.3,144.5
112.3,147.5
178.731,147.577
549.3,147.5
440.3,148.5
404.3,150.5
122.3,151.5
274.115,152.577
531.3,151.5
259.3,152.5
285.3,152.5
210.3,154.5
189.562,155.688
429.3,156.5
304.3,157.5
152.3,158.5
539.3,158.5
133.3,159.5
109.3,160.5
443.3,162.5
459.3,164.5
263.3,168.5
292.3,168.5
416.3,168.5
128.3,171.5
336.3,171.5
353.3,171.5
446.3,173.5
306.3,175.5
198.409,178.318
186.3,178.5
29.3,180.5
421.3,180.5
252.3,183.5
326.0,183.5
541.3,183.5
523.3,185.5
296.3,187.5
225.5,188.5
269.3,189.5
441.3,189.5
206.3,191.5
340.3,191.5
361.3,193.5
173.3,196.5
190.3,198.5
240.3,198.5
523.3,198.5
36.3,199.5
287.3,199.5
209.3,203.5
300.3,203.5
158.3,204.5
503.3,204.5
90.3,205.5
545.5,205.5
435.3,206.5
626.3,208.5
78.3,209.5
401.3,209.5
450.3,210.5
530.3,210.5
687.3,210.5
29.3,211.5
15.3,212.5
557.3,212.5
600.3,213.5
152.3,214.5
50.3,215.5
94.3,215.5
175.3,215.5
220.3,215.5
518.3,215.5
616.3,215.5
64.3,216.5
189.3,216.5
38.3,217.5
379.3,217.5
292.3,219.5
686.3,219.5
540.3,220.5
652.3,220.5
506.3,221.5
444.3,223.5
494.3,223.5
257.5,227.5
584.3,227.5
368.3,228.5
378.3,228.5
52.136,231.409
484.3,231.5
662.3,232.5
24.3,233.5
631.3,234.5
305.5,235.5
525.3,235.5
415.3,236.5
427.3,237.5
516.3,237.5
396.3,238.5
10.3,239.5
318.3,239.5
448.3,239.5
605.3,241.5
34.3,242.5
101.3,243.5
266.3,244.5
650.3,244.5
673.3,244.5
121.3,246.5
411.3,246.5
553.3,246.5
697.3,246.5
681.3,247.5
540.3,248.5
584.3,248.5
71.3,250.5
83.3,250.5
