X,Y
18.3,9.5
261.3,42.5
50.3,45.5
98.3,46.5
56.3,69.5
205.3,74.5
68.3,85.5
294.3,88.5
276.3,89.5
14.3,90.5
222.3,93.5
245.3,93.5
85.3,98.5
108.3,102.5
152.136,110.409
209.3,117.5
66.3,122.5
17.3,126.5
480.3,134.5
124.3,137.5
501.3,141.5
192.3,148.5
228.3,153.5
197.3,154.5
105.3,156.5
261.3,156.5
77.3,176.5
244.3,176.5
256.3,178.5
150.3,181.5
273.3,181.5
120.3,182.5
378.3,184.5
182.3,185.5
533.3,188.5
509.3,189.5
392.3,192.5
98.3,194.5
70.3,200.5
272.3,200.5
332.3,202.5
124.136,204.591
258.3,204.5
166.409,206.318
384.3,206.5
84.3,210.3
152.136,212.591
234.3,212.5
273.3,213.5
161.3,224.5
316.3,224.5
389.3,225.5
234.3,228.5
73.3,229.5
254.3,229.5
152.3,230.5
276.3,234.5
409.3,236.5
105.3,240.5
172.3,241.5
246.3,241.5
54.3,245.5
77.3,245.5
232.3,248.5
141.3,249.5
214.3,250.5
188.3,252.5
245.3,256.5
178.3,257.5
105.3,258.5
404.3,262.5
60.3,264.5
370.3,264.5
382.3,264.5
160.3,266.5
36.3,268.5
313.3,278.5
417.3,280.5
46.3,284.5
396.3,285.5
58.3,288.5
126.0,288.5
376.3,288.5
41.3,289.5
241.3,290.5
502.3,290.5
208.3,292.5
116.083,293.583
297.3,294.5
100.3,297.5
400.3,300.5
386.3,301.5
490.3,301.5
510.3,304.5
289.3,306.5
184.3,309.5
133.3,312.5
238.3,313.5
146.3,324.5
104.3,328.5
413.3,330.5
377.3,337.5
120.111,338.667
13.3,340.5
201.3,340.5
89.3,341.5
65.3,345.5
132.3,345.5
105.5,349.5
274.3,349.5
185.3,350.5
156.3,352.5
115.714,353.643
82.3,354.5
296.3,356.5
557.3,360.5
142.3,361.5
22.3,362.5
237.3,364.5
382.3,369.5
256.3,373.5
232.3,377.5
452.3,378.5
100.3,382.5
180.3,386.5
125.3,392.5
673.3,392.5
209.3,394.5
110.3,397.5
401.3,398.5
198.3,400.5
376.3,401.5
442.3,402.5
125.3,405.5
225.3,409.5
328.3,410.5
216.115,412.038
366.3,412.5
400.3,413.5
349.3,418.5
309.3,420.5
385.3,421.5
196.3,424.5
92.3,426.5
184.3,428.5
373.318,429.682
229.3,430.5
456.3,430.5
22.3,434.5
44.3,434.5
160.3,436.5
393.3,436.5
8.3,440.5
290.3,441.5
230.3,444.5
142.3,448.5
52.3,450.5
86.3,450.5
122.3,453.5
221.3,460.5
248.3,465.5
516.3,466.5
392.3,470.5
317.3,473.5
336.3,473.5
500.3,473.5
538.3,473.5
562.3,474.5
529.3,477.5
446.3,478.5
262.3,482.5
422.3,482.5
384.3,484.5
246.3,485.5
494.3,485.5
516.3,485.5
333.3,489.5
426.3,490.5
289.3,492.5
447.731,492.654
94.3,497.5
84.3,498.5
257.3,498.5
304.3,500.5
430.3,501.5
45.3,508.5
84.3,508.5
520.3,510.5
68.3,512.5
314.3,513.5
438.3,521.5
54.3,522.5
66.3,522.5
78.3,526.5
213.3,526.5
20.3,528.5
521.3,528.5
89.3,529.5
132.3,530.5
41.875,537.375
177.3,536.5
149.3,537.5
237.3,537.5
85.3,538.5
102.3,540.5
374.3,542.5
77.3,544.5
529.3,544.5
125.3,545.5
54.0,546.5
85.3,550.5
166.3,552.5
226.3,552.5
278.3,552.5
66.3,554.5
294.3,556.5
326.3,556.5
13.3,557.5
184.3,558.5
500.3,576.5
392.3,578.5
368.3,580.5
210.3,582.5
40.3,584.5
374.3,590.5
