X,Y
140.3,208.5
111.5,212.625
296.3,212.5
261.3,218.5
366.3,220.5
666.3,220.5
393.3,225.5
433.3,226.5
642.3,236.5
468.3,238.5
398.318,242.682
497.3,242.5
744.3,242.5
159.885,248.346
681.3,248.5
361.3,249.5
317.3,256.5
514.3,256.5
25.3,260.5
437.3,261.5
105.3,264.5
129.3,268.5
336.3,268.5
402.3,268.5
293.3,269.5
486.3,270.5
522.3,273.5
169.3,280.5
241.3,280.5
150.3,284.5
625.3,290.5
418.3,296.5
316.3,297.5
349.3,300.5
476.3,302.5
178.3,305.5
498.3,305.5
202.3,310.5
266.3,314.5
460.3,314.5
378.3,325.5
120.3,326.5
762.3,326.5
778.3,329.5
257.136,333.409
420.3,338.5
450.3,341.5
566.3,342.5
74.3,344.5
524.3,350.5
605.3,353.5
769.3,354.5
168.3,356.5
215.917,358.667
753.3,361.5
301.3,364.5
376.3,368.5
345.3,369.5
729.3,369.5
226.3,373.5
29.3,380.5
414.3,384.5
481.3,384.5
566.3,390.5
10.3,392.5
518.3,392.5
478.3,401.5
752.3,401.5
428.3,413.5
268.3,416.5
558.3,418.5
190.3,422.5
498.3,422.5
209.346,438.038
305.25,438.167
522.3,437.5
256.3,448.5
569.3,450.5
433.3,452.5
489.3,452.5
526.3,453.5
462.3,456.5
178.3,457.5
378.3,457.5
354.3,462.5
118.3,464.5
97.3,470.5
221.3,470.5
278.3,477.5
86.3,478.5
420.3,484.5
244.3,485.5
738.3,485.5
164.3,489.5
62.3,494.5
542.3,494.5
144.3,500.5
241.3,508.5
366.3,513.5
340.3,514.5
464.3,514.5
