X,Y
364.3,28.5
721.3,33.5
361.3,50.5
348.3,53.5
718.3,54.5
377.3,60.5
608.3,66.5
168.3,73.5
369.3,73.5
69.3,76.5
621.3,77.5
345.3,78.5
146.3,84.5
129.25,93.833
120.3,102.5
142.3,102.5
261.3,112.5
384.3,112.5
206.3,114.5
238.3,117.5
162.3,120.5
554.3,122.5
238.3,128.5
666.3,128.5
722.3,129.5
80.3,136.5
752.3,138.5
44.3,141.5
60.3,149.5
102.3,150.5
182.3,152.5
768.3,154.5
708.3,156.5
126.3,158.5
141.3,164.5
60.3,165.5
526.3,166.5
225.3,170.5
746.3,170.5
597.3,176.5
682.3,178.5
706.3,178.5
170.3,184.5
672.3,190.5
685.3,197.5
36.3,200.5
125.3,206.5
744.3,206.5
88.3,209.5
97.3,222.5
252.3,224.5
156.3,228.5
110.3,236.5
168.3,237.5
229.3,237.5
117.3,240.5
134.3,240.5
534.3,242.5
620.136,248.591
206.3,249.5
250.3,249.5
645.3,253.5
189.3,256.5
220.3,257.5
24.3,258.5
477.3,258.5
425.3,265.5
144.3,266.5
477.3,268.5
492.3,268.5
125.3,269.5
460.3,272.5
784.3,276.5
726.3,282.5
768.3,286.5
140.3,289.5
176.3,290.5
424.3,294.5
652.3,297.5
382.3,301.5
230.3,308.5
366.3,309.5
430.3,313.5
396.3,317.5
445.0,318.5
658.3,322.5
369.3,326.5
449.5,328.409
241.3,333.5
465.3,333.5
232.3,336.5
52.3,337.5
602.3,338.5
36.167,341.25
68.3,345.5
369.3,345.5
558.3,346.5
52.3,348.5
458.3,353.5
356.3,354.5
406.3,362.5
556.3,366.5
445.3,368.5
376.3,369.5
546.3,372.5
618.3,373.5
569.3,376.5
694.3,377.5
612.3,389.5
477.3,392.5
390.3,393.5
20.233,425.433
720.3,429.5
37.3,430.5
436.3,433.5
350.3,434.5
45.3,437.5
66.0,438.5
30.3,444.5
365.889,446.444
388.3,449.5
50.3,450.5
373.3,453.5
445.3,454.5
234.3,456.5
400.3,462.5
706.3,477.5
480.3,478.5
252.3,489.5
721.3,489.5
160.3,492.5
238.3,497.5
156.3,502.5
176.3,508.5
146.3,516.5
692.3,517.5
362.3,520.5
389.3,520.5
602.1,525.9
346.3,536.5
332.3,542.5
156.136,544.591
382.3,544.5
526.214,550.0
209.3,560.5
274.3,564.5
364.3,566.5
332.3,572.5
217.3,576.5
56.3,577.5
196.3,580.5
361.3,581.5
