X,Y
594.3,42.5
690.3,89.5
310.3,93.5
323.3,95.5
169.3,104.5
411.3,107.5
158.3,108.5
116.3,114.5
317.3,117.5
770.3,121.5
136.3,125.5
128.3,127.5
758.3,129.5
561.5,143.5
354.3,146.5
256.3,149.5
399.3,153.5
51.3,162.5
763.3,165.5
571.3,168.5
686.3,168.5
710.3,174.5
162.3,179.5
142.3,182.5
295.3,187.5
66.3,190.5
521.3,192.5
107.3,193.5
131.3,193.5
445.3,196.5
485.3,202.5
52.3,204.5
384.5,205.5
412.3,205.5
111.3,206.5
351.3,206.5
437.3,206.5
207.3,213.5
362.3,213.5
514.3,213.5
529.3,213.5
566.3,213.5
226.3,215.5
400.3,215.5
262.3,222.5
500.3,223.5
576.3,224.5
385.3,225.5
412.3,225.5
203.3,229.5
567.3,231.5
370.3,232.5
498.3,240.5
589.3,240.5
386.3,245.5
403.3,253.5
369.3,257.5
516.3,257.5
68.3,262.5
495.3,264.5
652.3,264.5
777.3,266.5
480.3,267.5
184.3,268.5
297.3,269.5
770.136,271.409
98.3,273.5
376.3,273.5
110.3,274.5
138.3,274.5
124.318,279.682
503.3,279.5
97.3,282.5
311.3,282.5
328.3,282.5
239.3,283.5
452.3,287.5
370.3,288.5
639.167,288.611
101.3,289.5
475.3,289.5
345.3,292.5
16.5,294.5
270.3,294.5
621.3,295.5
678.3,296.5
143.3,297.5
414.3,298.5
120.3,301.5
462.3,301.5
639.3,301.5
88.167,303.389
158.3,303.5
479.167,307.389
222.3,308.5
645.3,312.5
508.3,314.5
213.3,315.5
563.3,315.5
146.786,318.024
742.3,318.5
117.3,323.5
618.3,326.5
46.3,328.5
166.3,330.5
606.3,331.5
262.3,336.5
61.3,341.5
113.3,342.5
180.3,345.5
375.3,345.5
672.3,345.5
153.3,350.5
130.3,351.5
383.3,353.5
83.3,354.5
118.3,357.5
541.3,357.5
305.3,358.5
97.3,359.5
755.3,359.5
694.3,360.5
338.3,362.5
679.3,362.5
185.3,363.5
24.3,365.5
533.3,366.5
204.3,368.5
133.3,370.5
441.3,370.5
199.3,373.5
509.3,373.5
588.3,373.5
693.3,374.5
95.3,375.5
112.3,376.5
285.3,376.5
326.3,377.5
598.3,383.5
280.3,386.5
306.3,389.5
324.3,389.5
473.3,395.5
371.3,396.5
608.3,399.5
617.3,404.5
468.3,405.5
212.3,407.5
275.3,407.5
68.3,408.5
308.3,411.5
373.3,413.5
326.3,414.5
545.5,414.5
166.3,417.5
577.3,419.5
113.5,420.5
253.3,420.5
72.3,421.5
188.3,422.5
138.3,429.5
240.5,429.5
314.3,429.5
450.3,431.5
560.389,431.389
677.3,431.5
82.3,432.5
121.3,433.5
483.3,435.5
233.3,437.5
463.3,437.5
434.3,438.5
135.3,439.5
669.3,441.5
71.3,442.5
207.167,444.389
684.3,444.5
280.3,446.5
621.3,449.5
118.3,450.5
125.3,450.5
141.3,451.5
174.3,454.5
500.3,454.5
264.3,457.5
130.3,459.5
152.3,461.5
627.3,461.5
112.3,463.5
397.3,464.5
467.3,464.5
618.3,465.5
309.3,469.5
141.3,474.5
332.3,476.5
469.3,481.5
183.3,482.5
28.3,483.5
106.3,485.5
127.3,485.5
160.3,485.5
768.3,486.5
728.3,497.5
153.3,500.5
171.3,506.5
731.3,512.5
104.3,513.5
367.3,521.5
98.3,524.5
385.5,524.5
90.3,525.5
394.3,526.5
150.3,527.5
345.3,528.5
335.3,530.5
424.3,530.5
373.3,531.5
61.3,532.5
322.3,536.5
391.3,537.5
39.3,539.5
22.3,546.5
172.3,546.5
325.3,547.5
332.3,568.5
43.3,570.5
671.3,578.5
