X,Y
373.3,10.5
494.3,10.5
626.0,10.5
613.3,17.5
470.033,19.833
514.3,20.5
93.3,22.5
241.3,22.5
629.3,24.5
268.3,26.5
284.3,26.5
296.318,28.682
97.3,30.5
444.3,32.5
724.227,32.682
369.3,36.5
326.3,37.5
293.136,38.591
509.3,41.5
288.3,46.5
540.3,46.5
561.3,53.5
764.342,54.658
554.3,60.5
246.3,61.5
334.3,62.5
318.3,68.5
393.3,68.5
470.3,70.5
360.3,73.5
532.3,73.5
282.3,74.5
522.3,78.5
589.3,78.5
280.3,82.5
390.3,90.5
522.3,94.5
333.3,97.5
168.3,98.5
360.3,102.5
482.3,109.5
537.3,112.5
296.3,116.5
101.3,122.5
236.3,124.5
84.3,125.5
325.3,128.5
69.3,133.5
481.3,133.5
606.3,134.5
113.3,136.5
338.3,137.5
366.3,137.5
88.3,138.5
352.3,140.5
313.3,141.5
589.3,141.5
210.3,144.5
548.3,149.5
646.3,149.5
336.3,157.5
348.3,160.5
365.3,165.5
394.3,165.5
642.3,178.5
568.3,181.5
662.3,184.5
680.136,184.591
237.3,188.5
84.3,189.5
329.3,197.5
765.3,197.5
461.3,202.5
473.3,208.5
562.3,208.5
185.3,210.5
678.088,213.853
574.3,218.5
468.3,222.5
433.3,224.5
362.3,226.5
462.3,230.5
685.3,230.5
236.3,240.5
225.3,245.5
169.3,250.5
212.3,250.5
710.3,250.5
586.3,261.5
132.3,264.5
569.3,265.5
716.3,270.5
305.3,276.5
706.3,285.5
322.3,288.5
582.3,290.5
97.3,292.5
534.3,292.5
92.3,297.5
584.3,305.5
109.3,308.5
534.3,313.5
669.3,317.5
446.3,321.5
606.3,349.5
182.3,352.5
564.3,356.5
449.3,365.5
132.3,378.5
446.3,384.5
105.3,388.5
390.3,388.5
214.3,397.5
221.3,402.5
554.3,414.5
104.3,418.5
765.25,425.833
568.3,430.5
652.3,430.5
82.3,437.5
297.3,440.5
112.3,441.5
88.3,449.5
16.3,450.5
556.3,454.5
344.3,473.5
437.3,476.5
597.3,477.5
332.3,488.5
436.3,506.5
332.3,513.5
46.3,522.5
93.269,529.269
68.3,537.5
89.3,541.5
517.3,552.5
473.3,573.5
781.342,578.658
308.3,588.5
