X,Y
276.1,1.9
741.3,22.767
275.5,24.5
778.2,26.45
254.3,27.5
260.167,40.417
140.192,41.5
496.143,43.786
234.136,44.591
379.5,44.5
248.0,47.5
157.25,51.875
518.0,51.5
608.605,74.079
337.571,81.714
106.136,82.591
761.447,94.289
54.214,103.643
675.433,104.367
65.571,121.714
681.342,131.658
707.364,132.636
88.0,138.5
74.062,153.25
137.405,153.357
278.136,155.409
793.132,159.237
409.0,169.409
504.0,173.5
139.438,176.75
523.25,178.55
434.382,184.206
128.273,192.773
450.1,198.1
464.237,206.553
405.438,212.75
180.262,216.024
562.033,221.633
128.167,226.417
458.088,227.618
499.1,233.46
440.024,236.357
117.3,238.5
127.136,248.591
712.929,281.31
738.25,287.125
497.761,294.326
74.265,299.676
172.333,303.417
90.0,314.214
441.3,319.5
637.974,321.658
206.038,322.346
480.658,336.658
471.5,347.711
239.125,358.25
305.382,360.206
290.25,367.125
489.674,370.5
402.278,372.0
131.7,384.433
494.136,388.273
657.763,392.237
127.382,398.206
140.132,401.447
674.389,409.667
151.132,419.658
676.115,430.423
403.5,439.5
245.3,446.5
387.5,447.346
415.857,454.357
363.3,461.5
740.18,464.62
765.804,464.326
466.273,471.682
431.447,472.132
235.633,489.567
274.065,492.152
183.167,492.352
373.25,496.0
402.167,515.833
226.444,520.722
461.5,529.5
738.0,536.0
789.3,544.5
636.0,546.278
461.667,546.583
448.167,551.7
648.2,557.6
381.115,564.269
413.944,568.222
461.382,594.618
476.1,595.9
