X,Y
441.3,37.5
257.5,52.5
306.3,116.5
151.3,131.5
390.3,143.5
766.688,146.312
120.3,149.5
191.0,155.5
157.3,165.5
547.3,166.5
560.417,167.833
151.3,175.5
562.3,178.5
548.3,180.5
450.3,181.5
606.3,183.5
155.3,190.5
292.25,202.125
317.3,220.5
358.029,231.853
386.346,232.731
339.3,237.5
428.3,238.5
266.3,239.5
558.0,242.5
227.3,248.5
282.214,253.857
179.3,258.5
25.3,270.5
46.3,286.5
427.3,288.5
327.25,298.167
488.3,302.5
285.3,309.5
509.286,313.5
269.3,318.5
506.3,332.5
124.3,333.5
718.3,338.5
301.3,340.5
437.3,343.5
508.3,351.5
592.5,359.5
717.3,361.5
109.3,363.5
513.5,370.5
442.3,374.5
454.0,404.5
254.3,409.5
115.25,423.833
352.3,426.5
712.3,426.5
88.3,440.5
747.3,442.5
474.3,446.5
765.3,448.5
163.3,455.5
653.3,457.5
174.3,461.5
143.167,463.389
578.3,463.5
640.5,467.5
192.3,477.5
