X,Y
557.3,9.5
189.3,13.5
254.3,16.5
420.3,17.5
314.3,18.5
488.3,18.5
50.3,20.5
150.3,20.5
601.3,20.5
300.3,22.5
220.3,25.5
357.3,26.5
272.3,36.5
422.3,36.5
596.3,36.5
490.25,44.833
433.3,45.5
46.3,50.5
213.3,52.5
548.3,54.5
773.417,60.167
93.3,61.5
202.3,62.5
168.3,65.5
372.3,65.5
248.3,66.5
413.3,68.5
285.3,74.5
490.3,74.5
218.3,80.5
461.3,81.5
130.3,86.5
16.3,88.5
433.3,100.5
169.3,101.5
132.3,102.5
242.3,104.5
146.3,108.5
400.3,108.5
300.3,109.5
364.3,109.5
642.3,112.5
332.3,122.5
292.3,125.5
601.3,132.5
140.3,137.5
220.3,137.5
90.3,138.5
576.3,138.5
166.3,140.5
188.3,146.5
609.3,148.5
241.3,149.5
378.3,153.5
685.136,153.591
637.3,158.5
141.3,160.5
704.3,165.5
349.3,168.5
368.3,169.5
620.3,169.5
177.3,173.5
321.3,173.5
290.3,174.5
54.3,176.5
216.3,176.5
745.3,176.5
21.3,177.5
449.3,177.5
522.3,178.5
488.3,180.5
230.3,185.5
664.3,188.5
136.3,189.5
556.3,190.5
262.3,192.5
433.3,192.5
44.3,193.5
317.3,193.5
88.3,194.5
728.3,194.5
628.3,197.5
745.3,197.5
289.3,205.5
390.3,206.5
462.3,206.5
666.3,206.5
41.3,209.5
733.3,210.5
485.3,212.5
600.3,213.5
22.3,216.5
125.3,217.5
541.3,217.5
710.3,217.5
313.3,218.5
448.3,218.5
222.3,222.5
622.3,224.5
397.3,226.5
354.3,230.5
196.3,233.5
653.3,234.5
416.3,242.5
712.3,244.5
106.3,246.5
260.3,249.5
485.3,249.5
438.3,252.5
757.3,253.5
581.3,254.5
540.3,256.5
705.3,256.5
522.3,260.5
309.3,264.5
409.3,265.5
534.3,269.5
58.3,270.5
340.3,273.5
712.3,273.5
238.3,276.5
109.3,278.5
137.3,281.5
425.3,284.5
452.3,286.5
540.3,286.5
374.3,289.5
577.3,289.5
640.409,289.682
722.3,289.5
12.3,292.5
257.3,292.5
229.3,293.5
93.3,296.5
657.3,296.5
609.3,297.5
705.3,301.5
249.3,305.5
550.3,305.5
286.3,306.5
682.3,306.5
769.3,306.5
358.3,309.5
166.3,320.5
297.3,322.5
234.3,325.5
465.5,325.5
349.3,328.5
488.3,330.5
81.3,333.5
146.3,334.5
380.3,334.5
652.3,334.5
266.3,337.5
749.3,337.5
345.3,344.5
358.3,350.5
614.3,364.5
178.3,365.5
117.3,366.5
458.3,368.5
284.3,369.5
412.3,369.5
600.3,369.5
641.3,369.5
382.3,378.5
444.3,382.5
105.3,384.5
489.3,384.5
49.3,386.5
216.3,389.5
596.3,389.5
345.3,396.5
66.3,402.5
236.3,404.5
572.3,405.5
198.3,406.5
404.3,406.5
612.3,410.5
361.3,412.5
461.3,412.5
328.3,413.5
500.3,416.5
250.3,428.5
476.3,428.5
205.3,429.5
190.3,433.5
298.3,434.5
460.3,434.5
224.3,437.5
677.3,438.5
524.3,446.5
665.3,452.5
680.3,452.5
596.3,457.5
177.3,458.5
400.3,461.5
612.3,462.5
197.3,464.5
224.3,465.5
276.3,468.5
680.3,468.5
581.3,472.5
90.3,473.5
661.3,480.5
676.3,480.5
262.3,482.5
497.3,484.5
433.3,485.5
480.3,485.5
458.3,486.5
578.3,488.5
272.3,493.5
197.3,494.5
525.3,494.5
336.3,496.5
768.3,496.5
393.3,500.5
662.3,500.5
509.3,504.5
784.318,504.682
572.3,509.5
157.3,510.5
580.3,516.5
229.3,518.5
484.3,521.5
637.3,521.5
245.3,528.5
194.3,529.5
334.318,538.318
220.3,540.5
429.3,540.5
145.3,541.5
233.3,542.5
288.3,542.5
108.3,548.5
322.3,553.5
125.3,556.5
234.3,557.5
257.3,561.5
376.3,562.5
70.3,569.5
132.3,570.5
250.3,573.5
29.3,584.5
300.3,584.5
