X,Y
156.136,4.591
117.346,8.423
241.25,14.167
583.95,19.6
177.667,20.583
161.382,22.618
113.786,25.857
234.136,25.409
149.833,28.167
269.227,28.273
215.283,34.37
482.409,36.591
208.227,37.682
279.75,38.35
293.5,40.273
223.938,49.875
278.1,61.46
433.543,61.674
257.5,61.5
115.5,66.5
275.5,85.346
420.31,114.643
426.326,118.5
679.935,120.5
523.25,125.65
319.182,127.409
683.31,139.071
326.0,148.154
340.293,148.259
455.875,154.583
318.042,159.458
359.685,160.611
441.34,167.78
483.417,167.333
674.5,168.182
386.0,181.786
635.607,182.393
703.357,183.964
352.545,212.455
335.079,212.658
166.25,226.125
212.065,226.674
466.237,255.342
723.833,265.222
738.318,281.682
613.967,283.167
595.115,286.462
390.06,289.58
220.179,296.393
332.227,298.545
379.352,304.574
271.132,304.763
297.342,305.816
239.375,307.667
421.553,308.447
743.559,310.676
240.239,318.543
776.0,318.5
403.333,322.583
199.935,328.5
328.222,329.778
279.458,331.5
557.958,332.042
346.1,332.1
358.0,332.214
776.136,331.409
299.109,334.37
316.192,335.5
755.5,336.654
769.5,344.5
215.136,348.591
338.125,349.75
235.5,349.5
757.136,351.409
617.312,353.688
541.794,360.206
215.333,361.417
637.5,362.5
577.75,364.125
551.711,368.553
288.231,391.962
672.269,393.577
610.167,394.417
710.0,398.6
656.115,400.885
292.192,405.538
738.342,415.342
218.0,424.0
439.667,431.5
228.389,432.333
670.833,432.889
425.25,443.25
699.559,453.735
420.125,456.25
421.136,491.409
168.921,504.079
183.441,516.735
163.045,520.545
384.543,531.543
368.093,531.574
461.382,536.206
348.136,539.409
403.019,541.796
258.3,546.5
387.273,547.591
369.891,549.717
334.06,553.58
408.967,553.5
286.417,555.833
372.136,565.409
65.792,567.792
131.208,570.458
123.342,572.184
418.0,574.214
30.1,581.9
