X,Y
593.3,8.5
505.045,25.5
157.3,48.5
625.3,66.5
540.3,98.5
596.3,101.5
674.115,105.885
496.3,116.5
566.3,118.5
489.3,133.5
593.3,145.5
694.3,150.5
630.214,154.0
538.3,172.5
578.3,178.5
660.3,189.5
29.3,193.5
102.143,195.929
468.3,194.5
449.3,201.5
586.3,206.5
636.3,218.5
602.3,221.5
548.3,230.5
714.3,244.5
568.3,250.5
398.3,254.5
601.3,258.5
658.3,258.5
288.3,262.5
642.3,266.5
508.3,276.5
441.3,278.5
537.3,281.5
572.3,290.5
605.3,304.5
404.3,322.5
302.3,328.5
704.3,332.5
184.3,341.5
558.3,350.5
228.3,354.5
537.3,354.5
268.3,360.5
480.3,361.5
342.3,373.5
461.3,380.5
360.3,386.5
378.3,388.5
520.3,388.5
338.3,393.5
682.3,393.5
280.3,397.5
424.3,397.5
584.3,400.5
60.3,404.5
652.3,405.5
374.3,406.5
726.3,406.5
357.3,410.5
670.3,410.5
521.3,420.5
566.3,422.5
168.3,424.5
234.3,424.5
746.3,426.5
638.3,429.5
596.3,432.5
472.3,433.5
340.3,434.5
764.3,436.5
429.3,444.5
226.3,456.5
281.3,469.5
458.3,472.5
716.3,473.5
574.3,485.5
134.3,489.5
458.3,489.5
438.3,505.5
490.3,506.5
554.3,517.5
353.3,522.5
594.3,528.5
542.3,529.5
418.3,538.5
317.3,541.5
553.3,541.5
724.3,552.5
237.3,564.5
701.3,574.5
546.3,580.5
